U+343D	㐽	⿰亻风
U+343E	㐾	⿰亻元
U+343F	㐿	⿰亻手
U+3440	㑀	⿰亻太
U+3445	㑅	⿰亻⿱𠂉上
U+3446	㑆	⿰亻兄
U+3448	㑈	⿰亻东
U+344E	㑎	⿰亻⿱巛山
U+3451	㑑	⿰亻自
U+3453	㑓	⿰亻⿱厶友
U+3454	㑔	⿰亻页
U+3455	㑕	⿰亻岁
U+3456	㑖	⿰亻仲
U+3460	㑠	⿰亻⿱⿰刂又土
U+3461	㑡	⿰亻即
U+3462	㑢	⿰亻刧
U+3468	㑨	⿰亻⿱口矢
U+3469	㑩	⿰亻罗
U+346A	㑪	⿰亻斉
U+346B	㑫	⿰亻念
U+346C	㑬	⿰亻姑
U+346D	㑭	⿰亻畀
U+3472	㑲	⿰亻南
U+3478	㑸	⿰亻⿱古可
U+348E	㒎	⿰亻⿱夭非
U+348F	㒏	⿰亻寒
U+3490	㒐	⿰亻筍
U+3497	㒗	⿰亻䑓
U+3498	㒘	⿰亻竪
U+34A2	㒢	⿰亻龠
U+34A3	㒣	⿰亻應
U+34A8	㒨	⿰亻𠨧
U+34AA	㒪	⿳人𦣦⿰止豕
U+34AB	㒫	㒫
U+34AC	㒬	⿺元王
U+34AE	㒮	⿺元豕
U+34AF	㒯	⿰光華
U+34B1	㒱	⿰入夕
U+34B7	㒷	⿳𠔿一八
U+34BA	㒺	⿵冂⿱丷亾
U+34C0	㓀	⿱冖卜
U+34C6	㓆	⿰冫仓
U+34C7	㓇	⿰冫夭
U+34C9	㓉	⿰冫⾆
U+34CD	㓍	⿰冫充
U+34CE	㓎	⿰冫𠬶
U+34D2	㓒	⿱⿰冫七𠇍
U+34D5	㓕	⿰冫烕
U+34D9	㓙	⿶凵文
U+34DB	㓛	⿰工刀
U+34E5	㓥	⿰当刂
U+34EB	㓫	⿰⿱大开刂
U+34F0	㓰	⿰&GT-27920;刂
U+34FF	㓿	⿰黍刂
U+3508	㔈	⿰菲刂
U+3509	㔉	⿰属刂
U+3514	㔔	⿱加〇
U+3515	㔕	⿰气力
U+3516	㔖	⿱加𠃌
U+3518	㔘	⿰出力
U+351A	㔚	⿰舌力
U+351B	㔛	⿱吉力
U+351F	㔟	⿱⿰生丸力
U+352B	㔫	⿸𠂇匕
U+3532	㔲	⿷匚⿰⻟九
U+353A	㔺	⿱十⿰十十
U+3540	㕀	⿱由巳
U+3554	㕔	⿸厂聽
U+3558	㕘	⿱厽尒
U+355D	㕝	⿱古又
U+357C	㕼	⿰口匈
U+357E	㕾	⿱小⿰口匕
U+357F	㕿	⿱禾口
U+3588	㖈	⿱老口
U+3589	㖉	⿰口企
U+358A	㖊	⿰口寻
U+358B	㖋	⿱介⿰口匕
U+358C	㖌	⿱仇口
U+358E	㖎	⿱⿰口匕介
U+3599	㖙	⿱加⿰口匕
U+359A	㖚	⿱付⿰口匕
U+359B	㖛	⿰古⿰口匕
U+359C	㖜	⿱Z亯X⿰口匕
U+359D	㖝	⿱未⿰口匕
U+35AC	㖬	⿰口⿱臼又
U+35AF	㖯	⿱同⿰口匕
U+35B0	㖰	⿱⿰口匕同
U+35B2	㖲	⿱如⿰口匕
U+35B3	㖳	⿱汝⿰口匕
U+35B4	㖴	⿰口芴
U+35C4	㗄	⿰口⿱⺫方
U+35CE	㗎	⿰口架
U+35CF	㗏	⿰口歪
U+35D0	㗐	⿰口盇
U+35DD	㗝	⿰口恙
U+35DE	㗞	⿰口破
U+35DF	㗟	⿱注⿰口匕
U+35E0	㗠	⿱始⿰口匕
U+35E1	㗡	⿳艹仍⿰口匕
U+35EE	㗮	⿰名庚
U+35EF	㗯	⿰者⿰口匕
U+35F7	㗷	⿰口⿳宀&CDP-8BB7;贝
U+35F8	㗸	⿰口䘖
U+35F9	㗹	⿰口𢛧
U+35FA	㗺	⿰口⿱天非
U+3604	㘄	⿰口楞
U+360F	㘏	⿱道⿰口匕
U+3612	㘒	⿰種⿰口匕
U+3618	㘘	⿱䜌口
U+361F	㘟	⿴囗廾
U+362E	㘮	⿰土尺
