U+3445	㑅	⿰亻⿱𠂉上	
U+344E	㑎	⿰亻⿱巛山	
U+3453	㑓	⿰亻⿱厶友	
U+3460	㑠	⿰亻⿱⿰刂又土	
U+3468	㑨	⿰亻⿱口矢	
U+3478	㑸	⿰亻⿱古可	
U+348E	㒎	⿰亻⿱夭非	
U+34AA	㒪	⿳人𦣦⿰止豕	
U+34AB	㒫	㒫	
U+34B7	㒷	⿳𠔿一八	
U+34BA	㒺	⿵冂⿱丷亾	
U+34D2	㓒	⿱⿰冫七𠇍	
U+34EB	㓫	⿰⿱大开刂	
U+34F0	㓰	⿰&GT-27920;刂	
U+351F	㔟	⿱⿰生丸力	
U+3532	㔲	⿷匚⿰⻟九	
U+353A	㔺	⿱十⿰十十	
U+357E	㕾	⿱小⿰口匕	
U+358B	㖋	⿱介⿰口匕	
U+358E	㖎	⿱⿰口匕介	
U+3599	㖙	⿱加⿰口匕	
U+359A	㖚	⿱付⿰口匕	
U+359B	㖛	⿰古⿰口匕	
U+359C	㖜	⿱Z亯X⿰口匕	
U+359D	㖝	⿱未⿰口匕	
U+35AC	㖬	⿰口⿱臼又	
U+35AF	㖯	⿱同⿰口匕	
U+35B0	㖰	⿱⿰口匕同	
U+35B2	㖲	⿱如⿰口匕	
U+35B3	㖳	⿱汝⿰口匕	
U+35C4	㗄	⿰口⿱⺫方	
U+35DF	㗟	⿱注⿰口匕	
U+35E0	㗠	⿱始⿰口匕	
U+35E1	㗡	⿳艹仍⿰口匕	
U+35EF	㗯	⿰者⿰口匕	
U+35F7	㗷	⿰口⿳宀𠀎贝	
U+35FA	㗺	⿰口⿱天非	
U+360F	㘏	⿱道⿰口匕	
U+3612	㘒	⿰種⿰口匕	
U+362F	㘯	⿰土⿱𠂉力	
U+365A	㙚	⿰土⿱𦍌牛	
U+3675	㙵	⿰土⿱高土	
U+367D	㙽	⿰土⿻大皕	
U+36E0	㛠	⿰女⿵门日	
U+3759	㝙	⿱宀⿳王一八	
U+3773	㝳	⿻一&CDP-8CD9;	
U+3777	㝷	⿳彐⿰工丸寸	
U+3791	㞑	⿸尸&CDP-85A9;	
U+37A1	㞡	⿸尸⿳⿰工工⿰工工&CDP-8B67;	
U+37F3	㟳	⿰山⿱西木	
U+382C	㠬	⿱⿰工口夫	
U+384C	㡌	⿰巾⿱日冃	
U+3863	㡣	⿰帝&CDP-89B0;	
U+3895	㢕	⿸广H乡隹	
U+3898	㢘	⿸广⿳䒑&CDP-88BB;灬	
U+389C	㢜	⿸广⿱廿思	
U+38A4	㢤	弋	
U+38B3	㢳	⿰弓HX旅	
U+38CF	㣏	⿰⿱大早彡	
U+38F8	㣸	⿰彳⿺⿱&CDP-85F0;豕生	
U+3917	㤗	⿱𡗗&CDP-8CD9;	
U+3924	㤤	⿰忄&CDP-89E7;	
U+3957	㥗	⿰忄⿱日文	
U+3958	㥘	⿰忄刼	
U+397B	㥻	⿱⿵戊禾心	
U+3988	㦈	⿰忄盖	
U+3990	㦐	⿰忄⿹弋⿱二貝	
U+39A4	㦤	⿰壹⿱欠心	
U+39AF	㦯	⿹&GT-14544;⿱厶一	
U+39B2	㦲	⿹𢦏&CDP-8B6C;	
U+39DB	㧛	⿱Z监X手	
U+39E9	㧩	⿰扌&CDP-8DA7;	
U+39FF	㧿	⿰扌&CDP-8BB0;	
U+3A0A	㨊	⿰扌Z左月	
U+3A17	㨗	⿰扌⿳卜&CDP-897C;&CDP-8B68;	
U+3A4A	㩊	⿰扌⿳爫罒寸	
U+3A66	㩦	⿰扌⿱隹冏	
U+3A70	㩰	⿰扌⿱艹喿	
U+3A76	㩶	⿰扌⿱𥫗爾	
U+3A79	㩹	⿰扌疊	
U+3AB2	㪲	⿰斗𠃍	
U+3AC1	㫁	⿰⿺𠃊⿱⿰幺幺兀斤	
U+3ACC	㫌	⿸⿰方𠂉正	
U+3AEA	㫪	⿱𡗗旧	
U+3B04	㬄	⿱日⿸厂赤	
U+3B1E	㬞	⿰日⿱山曷	
U+3B27	㬧	⿰𣅽⿵大糸	
U+3B2A	㬪	⿱晶⿱宀彑	
U+3B3A	㬺	⿸⿰&GT-18140;&CDP-8BFA;巾	
U+3B4D	㭍	⿱⿰冫七木	
U+3B5A	㭚	⿰木HX旅	
U+3B66	㭦	⿰木宅	
U+3B76	㭶	⿰木&GT-39816;	
U+3B86	㮆	⿰木⿱人羊	
U+3BB1	㮱	⿰木⿱艹先	
U+3BB7	㮷	⿰木⿱尤旨	
U+3BE6	㯦	⿰木⿵其木	
U+3BEF	㯯	⿰木⿱&CDP-8D5F;貝	
U+3BF4	㯴	⿰木⿱艹容	
U+3BF5	㯵	⿰木⿱艹重	
U+3BFC	㯼	⿰木⿱艹盍	
U+3C13	㰓	⿰木⿱⿰臣&CDP-89BC;貝	
U+3C4E	㱎	⿰⿱眔魚欠	
U+3C50	㱐	⿰止?	
U+3C5C	㱜	⿰歹&CDP-8B68;	
U+3C69	㱩	⿰歹⿱十买	
U+3C8A	㲊	⿰⿸⿱卜&CDP-88E2;⿱⿳一八人目殳	
U+3CA0	㲠	⿱⿰未攵毛	
U+3CD7	㳗	⿰氵⿱叉土	
U+3CE4	㳤	⿰氵&CDP-8846;	
U+3CEC	㳬	⿰氵&CDP-8DA6;	
U+3CF1	㳱	⿰氵⿰阝日	
U+3CF2	㳲	⿲氵氵太	
U+3CFA	㳺	⿲氵扌Z𠂉子	
U+3CFF	㳿	⿰氵⿱⿱亠厶木	
U+3D00	㴀	⿰氵⿱艹乏	
U+3D01	㴁	⿰氵⿱夭井	
U+3D03	㴃	⿰氵⿸户水	
U+3D05	㴅	⿱水⿴囗㕣	
U+3D15	㴕	⿰氵⿱艹禾	
U+3D1E	㴞	⿰氵⿱爫旧	
U+3D22	㴢	⿲氵氵仲	
U+3D23	㴣	⿲氵氵夷	
U+3D34	㴴	⿰氵⿺𠃊⿳火一火	
U+3D3A	㴺	⿲氵氵夾	
U+3D3B	㴻	⿲氵豆寸	
U+3D44	㵄	⿰氵⿹或天	
U+3D5A	㵚	⿰氵⿱&GT-25336;金	
U+3D5C	㵜	⿲氵氵南	
U+3D6E	㵮	⿰氵⿳大廿&CDP-8745;	
U+3D82	㶂	⿲氵氵黄	
U+3D83	㶃	⿲氵氵無	
U+3D89	㶉	⿲氵奚鸟	
U+3D8B	㶋	⿰氵⿺⿱&CDP-85F0;豕生	
U+3D9C	㶜	⿰氵⿲屏屏刂	
U+3DCF	㷏	⿱⿰禾午火	
U+3DD0	㷐	⿰火Z臼土	
U+3DD4	㷔	⿰火⿱爫旧	
U+3DD7	㷗	⿱⿲丿㠯巳火	
U+3DDD	㷝	⿰火&GT-32811;	
U+3DE3	㷣	⿰火⿱𦍌牛	
U+3DE9	㷩	⿱⿲丿臣巳火	
U+3DEF	㷯	⿰⿱火土奉	
U+3DF8	㷸	⿰火⿱日&CDP-8BF8;	
U+3DF9	㷹	⿰火⿱艹卓	
U+3DFA	㷺	⿱⿰臽攵火	
U+3E00	㸀	⿰火⿱高土	
U+3E09	㸉	⿱⿲火辛火火	
U+3E14	㸔	⿸目?	
U+3E59	㹙	⿰牜⿱𤇾目	
U+3E86	㺆	⿰犭⿱⿰讠大贝	
U+3E87	㺇	⿲犭𦣞犬	
U+3E99	㺙	⿰犭⿳宀母贝	?
U+3EA6	㺦	⿲犭耳⿱𢆶丱	
U+3EBB	㺻	⿰王&GT-11066;	
U+3EC4	㻄	⿰王⿱丿&CDP-8BCE;	
U+3EC6	㻆	⿰王⿱厶&CDP-8958;	
U+3EDC	㻜	⿰王&CDP-8BB0;	
U+3EDF	㻟	⿰王Z左月	
U+3EE5	㻥	⿰王⿱八酉	
U+3EE8	㻨	⿱⿰臣㕚玉	
U+3EF3	㻳	⿰王⿱艹利	
U+3EF9	㻹	⿱⿰石豕玉	
U+3F00	㼀	⿰王&I-M-39011;	
U+3F02	㼂	⿰⿻&CDP-8B64;&CDP-8BC2;玉	
U+3F05	㼅	⿰王&I-M-09493;	
U+3F54	㽔	⿺⿱&CDP-85F0;豕生	
U+3F9B	㾛	⿸疒⿳彐冖又	
U+3FC2	㿂	⿸疒⿰⿱山王攵	
U+3FC6	㿆	⿸疒⿱禾衣	
U+3FC8	㿈	⿸疒H乡隹	
U+3FDC	㿜	⿸疒⿱自龠	
U+4007	䀇	⿱古⿰缶皿	
U+400B	䀋	⿱土⿰&CDP-8CF9;皿	
U+400C	䀌	⿱⿻聿⿰百百皿	
U+403E	䀾	⿱⿰石又目	
U+4049	䁉	⿱⿰户戈目	
U+405E	䁞	⿱𠈌⿸丆目	
U+4067	䁧	⿰目&CDP-8BD3;	
U+408B	䂋	⿰⿱古㐄柔	
U+40B5	䂵	⿰石⿱工页	
U+4117	䄗	⿰礻&GT-00120;	
U+4139	䄹	⿱禾⿱人千	
U+4169	䅩	⿰禾⿱支只	
U+418B	䆋	⿰禾?	
U+41A9	䆩	⿱穴⿱目大	
U+41BF	䆿	⿱穴⿰爿臬	
U+41DF	䇟	⿱𥫗⿰夕力	
U+41F1	䇱	⿱𥫗⿴囗夕	
U+421B	䈛	⿱𥫗⿰⿱卜冊又	
U+425A	䉚	⿳𥫗罒𤬦	
U+4271	䉱	⿱𥫗⿰衤區	
U+4283	䊃	⿰米&CDP-8DA7;	
U+428C	䊌	⿰米&GT-11659;	
U+42A8	䊨	⿵&CB12237;米	
U+42DD	䋝	⿰糹⿱&CDP-89B2;女	
U+42EF	䋯	⿱⿰户戈糸	
U+42F2	䋲	⿰糹黾	
U+4313	䌓	⿱⿰每殳糸	
U+434F	䍏	䍏	
U+439E	䎞	⿱者𠃍	
U+43AF	䎯	⿰耒&CDP-8BD3;	
U+43CB	䏋	⿻&CDP-8C44;⿱八⿰心巳	
U+43EE	䏮	⿰⺼⿱力&CDP-89AE;	
U+4452	䑒	⿰至⿻刀&CDP-89C7;	
U+4453	䑓	⿳&CDP-88C8;冖至	
U+44AE	䒮	⿳艹冖凡	
U+44AF	䒯	⿳艹冖丸	
U+44BF	䒿	⿳艹冖月	
U+44E8	䓨	⿳艹冖缶	
U+4518	䔘	⿱艹⿰缶且	
U+4522	䔢	⿱艹⿱𠈌亏	
U+4524	䔤	⿱艹⿰白百	
U+4528	䔨	⿱艹⿰乡隹	
U+454E	䕎	⿱艹⿰日畐	
U+4565	䕥	⿱艹⿱人&CDP-88D6;	
U+456B	䕫	⿱艹⿱⿲止白㔾⿱八夂	
U+456E	䕮	⿱艹⿰幸匊	
U+4617	䘗	⿴行⿳山一糸	
U+4620	䘠	⿰衤⿸𠂇㐅	
U+462E	䘮	⿱&CDP-8D5B;&CDP-8CC6;	
U+4632	䘲	⿰衤⿱彐⿱冖又	
U+4643	䙃	⿰衤Z左月	
U+4668	䙨	⿰衤⿱果衣	
U+468C	䚌	⿰⿳白大十見	
U+46D3	䛓	⿱Z监X言	
U+46DD	䛝	⿰言⿱丑山	
U+46E7	䛧	⿰言⿺𠃊米	
U+46F6	䛶	⿰言⿱丰木	
U+46FC	䛼	⿰言Z臼工	
U+4700	䜀	⿰言⿱⿰刃刃止	
U+4725	䜥	⿰⻈⿺廴旦	
U+4727	䜧	⿰⻈⿱⿰刃刃止	
U+473F	䜿	⿱⿰臣&CDP-89BC;豆	
U+4742	䝂	⿱⿰臣殳豆	
U+4749	䝉	⿳&CDP-85F0;冖豕	
U+478A	䞊	⿰貝⿸虍⿳八人目	
U+4AA3	䪣	⿰&CDP-88E0;⿱次韭	
