U+343D	㐽	⿰亻风
U+343E	㐾	⿰亻元
U+343F	㐿	⿰亻手
U+3440	㑀	⿰亻太
U+3446	㑆	⿰亻兄
U+3448	㑈	⿰亻东
U+3451	㑑	⿰亻自
U+3454	㑔	⿰亻页
U+3455	㑕	⿰亻岁
U+3456	㑖	⿰亻仲
U+3461	㑡	⿰亻即
U+3462	㑢	⿰亻刧
U+3469	㑩	⿰亻罗
U+346A	㑪	⿰亻斉
U+346B	㑫	⿰亻念
U+346C	㑬	⿰亻姑
U+346D	㑭	⿰亻畀
U+3472	㑲	⿰亻南
U+348F	㒏	⿰亻寒
U+3490	㒐	⿰亻筍
U+3497	㒗	⿰亻䑓
U+3498	㒘	⿰亻竪
U+34A2	㒢	⿰亻龠
U+34A3	㒣	⿰亻應
U+34A8	㒨	⿰亻𠨧
U+34AC	㒬	⿺元王
U+34AE	㒮	⿺元豕
U+34AF	㒯	⿰光華
U+34B1	㒱	⿰入夕
U+34C0	㓀	⿱冖卜
U+34C6	㓆	⿰冫仓
U+34C7	㓇	⿰冫夭
U+34C9	㓉	⿰冫舌
U+34CD	㓍	⿰冫充
U+34CE	㓎	⿰冫𠬶
U+34D5	㓕	⿰冫烕
U+34D9	㓙	⿶凵文
U+34DB	㓛	⿰工刀
U+34E5	㓥	⿰当刂
U+34FF	㓿	⿰黍刂
U+3508	㔈	⿰菲刂
U+3509	㔉	⿰属刂
U+3514	㔔	⿱加〇
U+3515	㔕	⿰气力
U+3516	㔖	⿱加𠃌
U+3518	㔘	⿰出力
U+351A	㔚	⿰舌力
U+351B	㔛	⿱吉力
U+352B	㔫	⿸𠂇匕
U+3540	㕀	⿱由巳
U+3554	㕔	⿸厂聽
U+3558	㕘	⿱厽尒
U+355D	㕝	⿱古又
U+357C	㕼	⿰口匈
U+357F	㕿	⿱禾口
U+3588	㖈	⿱老口
U+3589	㖉	⿰口企
U+358A	㖊	⿰口寻
U+358C	㖌	⿱仇口
U+35B4	㖴	⿰口芴
U+35CE	㗎	⿰口架
U+35CF	㗏	⿰口歪
U+35D0	㗐	⿰口盇
U+35DD	㗝	⿰口恙
U+35DE	㗞	⿰口破
U+35EE	㗮	⿰名庚
U+35F8	㗸	⿰口䘖
U+35F9	㗹	⿰口𢛧
U+3604	㘄	⿰口楞
U+3618	㘘	⿱䜌口
U+361F	㘟	⿴囗廾
U+362E	㘮	⿰土尺
U+363C	㘼	⿰土考
U+363E	㘾	⿰土宇
U+364B	㙋	⿰土其
U+364C	㙌	⿰土肃
U+3652	㙒	⿱𤰩土
U+365C	㙜	⿰高土
U+3666	㙦	⿱斜土
U+3667	㙧	⿰土畱
U+366D	㙭	⿰土厥
U+367F	㙿	⿰土羲
U+36C2	㛂	⿰女𠂬
U+36C3	㛃	⿱㓞女
U+36DF	㛟	⿰女奂
U+36E1	㛡	⿰女完
U+36E2	㛢	⿰女秀
U+36E3	㛣	⿰女员
U+36E4	㛤	⿰女丽
U+36FD	㛽	⿰女宩
U+36FF	㛿	⿰女带
U+3700	㜀	⿰女相
U+3701	㜁	⿰女查
U+3714	㜔	⿰女竞
U+371F	㜟	⿰女敢
U+3722	㜢	⿰女婁
U+372C	㜬	⿰女詹
U+372D	㜭	⿰女當
U+3736	㜶	⿰女毚
U+373C	㜼	⿰女疊
U+3746	㝆	⿰子喜
U+374D	㝍	⿱宀与
U+377D	㝽	⿺尢水
U+378D	㞍	⿸尸丸
U+379D	㞝	⿱戚尸
U+37AE	㞮	⿱山々
U+37AF	㞯	⿱己山
U+37C6	㟆	⿰山华
U+37D5	㟕	⿱山呌
U+37E1	㟡	⿱山卷
U+37E3	㟣	⿰山松
U+37E5	㟥	⿰山参
U+3803	㠃	⿰山啇
U+3818	㠘	⿱山與
U+381E	㠞	⿱徵山
U+3824	㠤	⿰山襄
U+3828	㠨	⿱山欝
U+382B	㠫	⿱巩夫
U+3830	㠰	⿱加己
U+3833	㠳	⿱人巾
U+3843	㡃	⿰巾㠩
U+3846	㡆	⿰巾巟
U+384D	㡍	⿱㚖巾
