㐽	H亻风
㐾	H亻元
㐿	H亻手
㑀	H亻太
㑅	H亻Z𠂉上
㑆	H亻兄
㑈	H亻东
㑎	H亻Z巛山
㑑	H亻自
㑓	
㑔	
㑕	
㑖	
㑠	
㑡	
㑢	
㑨	
㑩	
㑪	
㑫	
㑬	
㑭	
㑲	
㑸	
㒎	
㒏	
㒐	
㒗	
㒘	
㒢	
㒣	
㒨	
㒪	
㒫	
㒬	
㒮	
㒯	
㒱	
㒷	
㒺	
㓀	
㓆	
㓇	
㓉	
㓍	
㓎	
㓒	
㓕	
㓙	
㓛	
㓥	
㓫	
㓰	
㓿	
㔈	
㔉	
㔔	
㔕	
㔖	
㔘	
㔚	
㔛	
㔟	
㔫	
㔲	
㔺	
㕀	
㕔	
㕘	
㕝	
㕼	
㕾	
㕿	
㖈	
㖉	
㖊	
㖋	
㖌	
㖎	
㖙	
㖚	
㖛	
㖜	
㖝	
㖬	
㖯	
㖰	
㖲	
㖳	
㖴	
㗄	
㗎	
㗏	
㗐	
㗝	
㗞	
㗟	
㗠	
㗡	
㗮	
㗯	
㗷	
㗸	
㗹	
㗺	
㘄	
㘏	
㘒	
㘘	
㘟	
㘮	
㘯	
㘼	
㘾	
㙋	
㙌	
㙒	
㙚	
㙜	
㙦	
㙧	
㙭	
㙵	
㙽	
㙿	
㛂	
㛃	
㛟	
㛠	
㛡	
㛢	
㛣	
㛤	
㛽	
㛿	
㜀	
㜁	
㜔	
㜟	
㜢	
㜬	
㜭	
㜶	
㜼	
㝆	
㝍	
㝙	
㝳	
㝷	
㝽	
㞍	
㞑	
㞝	
㞡	
㞮	
㞯	
㟆	
㟕	
㟡	
㟣	
㟥	
㟳	
㠃	
㠘	
㠞	
㠤	
㠨	
㠫	
㠬	
㠰	
㠳	
㡃	
㡆	
㡌	
㡍	
㡎	
㡡	
㡣	
㡤	
㡧	
㡪	
㡬	
㡮	
㢇	
㢌	
㢕	
㢘	
㢜	
㢢	
㢤	
㢫	
㢱	
㢳	
㢷	
㢹	
㢿	
㣏	
㣕	
㣖	
㣗	
㣡	
㣧	
㣨	
㣩	
㣮	
㣳	
㣴	
㣸	
㣹	
㤀	
㤗	
㤤	
㤪	
㤭	
㤼	
㤽	
㥗	
㥘	
㥙	
㥡	
㥪	
㥫	
㥷	
㥻	
㦈	
㦐	
㦙	
㦠	
㦤	
㦦	
㦧	
㦯	
㦲	
㦳	
㧉	
㧑	
㧛	
㧝	
㧞	
㧠	
㧩	
㧰	
㧿	
㨈	
㨊	
㨏	
㨓	
㨗	
㨘	
㨤	
㨫	
㨬	
㨲	
㨾	
㩀	
㩁	
㩂	
㩅	
㩊	
㩏	
㩐	
㩑	
㩗	
㩦	
㩫	
㩮	
㩰	
㩶	
㩹	
㪂	
㪗	
㪘	
㪙	
㪪	
㪲	
㪳	
㫁	
㫆	
㫇	
㫈	
㫉	
㫌	
㫖	
㫣	
㫪	
㫬	
㫭	
㫮	
㫾	
㫿	
㬀	
㬄	
㬑	
㬖	
㬞	
㬧	
㬨	
㬪	
㬷	
㬺	
㬻	
㬽	
㬾	
㭀	
㭅	
㭆	
㭍	
㭏	
㭐	
㭖	
㭗	
㭚	
㭣	
㭤	
㭥	
㭦	
㭧	
㭳	
㭴	
㭵	
㭶	
㭷	
㮆	
㮉	
㮜	
㮟	
㮠	
㮢	
㮱	
㮷	
㮼	
㮽	
㯑	
㯒	
㯞	
㯦	
㯧	
㯨	
㯯	
㯴	
㯵	
㯼	
㯽	
㰇	
㰓	
㰜	
㰟	
㰸	
㱎	
㱐	
㱑	
㱓	
㱜	
㱝	
㱩	
㱷	
㲊	
㲐	
㲑	
㲠	
㲩	
㲮	
㲿	
㳉	
㳓	
㳔	
㳕	
㳗	
㳟	
㳡	
㳢	
㳣	
㳤	
㳬	
㳱	
㳲	
㳳	
㳴	
㳺	
㳿	
㴀	
㴁	
㴃	
㴄	
㴅	
㴋	
㴌	
㴍	
㴏	
㴕	
㴞	
㴟	
㴠	
㴡	
㴢	
㴣	
㴤	
㴴	
㴹	
㴺	
㴻	
㵁	
㵄	
㵇	
㵈	
㵉	
㵚	
㵛	
㵜	
㵥	
㵫	
㵮	
㵼	
㶂	
㶃	
㶉	
㶊	
㶋	
㶐	
㶕	
㶙	
㶚	
㶜	
㶝	
㶢	
㶩	
㶪	
㶱	
㶶	
㶷	
㶸	
㶽	
㷁	
㷌	
㷏	
㷐	
㷔	
㷗	
㷚	
㷛	
㷜	
㷝	
㷞	
㷡	
㷣	
㷧	
㷨	
㷩	
㷪	
㷯	
㷱	
㷲	
㷸	
㷹	
㷺	
㷽	
㸀	
㸃	
㸆	
㸉	
㸔	
㸴	
㸷	
㸿	
㹈	
㹙	
㹩	
㹰	
㺆	
㺇	
㺍	
㺙	
㺦	
㺯	
㺶	
㺸	
㺻	
㺼	
㺽	
㺾	
㻄	
㻅	
㻆	
㻇	
㻈	
㻏	
㻐	
㻘	
㻙	
㻚	
㻛	
㻜	
㻟	
㻢	
㻣	
㻤	
㻥	
㻦	
㻨	
㻩	
㻪	
㻳	
㻴	
㻹	
㻻	
㻼	
㼀	
㼁	
㼂	
㼃	
㼅	
㼆	
㽏	
㽔	
㽗	
㽶	
㽼	
㾛	
㾱	
㾲	
㾳	
㿁	
㿂	
㿆	
㿈	
㿐	
㿜	
䀇	
䀋	
䀌	
䀝	
䀥	
䀨	
䀾	
䁀	
䁉	
䁞	
䁡	
䁧	
䂋	
䂘	
䂨	
䂵	
䃃	
䃄	
䃅	
䃆	
䃐	
䃟	
䃨	
䃯	
䃼	
䄅	
䄆	
䄊	
䄐	
䄕	
䄗	
䄞	
䄣	
䄴	
䄵	
䄹	
䅈	
䅉	
䅩	
䅪	
䅫	
䆆	
䆇	
䆋	
䆌	
䆩	
䆴	
䆿	
䇄	
䇊	
䇟	
䇱	
䇳	
䇴	
䇿	
䈛	
䈨	
䈩	
䈿	
䉇	
䉐	
䉚	
䉟	
䉣	
䉤	
䉭	
䉱	
䊃	
䊌	
䊢	
䊨	
䊹	
䋅	
䋆	
䋇	
䋝	
䋞	
䋯	
䋲	
䌓	
䌠	
䌱	
䌶	
䌸	
䌹	
䌺	
䌻	
䌼	
䌽	
䌾	
䌿	
䍀	
䍁	
䍏	
䍞	
䍠	
䎐	
䎛	
䎞	
䎥	
䎯	
䎲	
䏋	
䏓	
䏞	
䏭	
䏮	
䐅	
䑃	
䑒	
䑓	
䑕	
䑖	
䑮	
䑷	
䑾	
䒄	
䒙	
䒮	
䒯	
䒷	
䒻	
䒿	
䓀	
䓁	
䓓	
䓔	
䓕	
䓨	
䓩	
䓬	
䓸	
䓻	
䔊	
䔘	
䔢	
䔤	
䔦	
䔧	
䔨	
䔩	
䔫	
䕂	
䕃	
䕎	
䕐	
䕛	
䕜	
䕝	
䕥	
䕫	
䕮	
䖬	
䖭	
䖹	
䖾	
䗖	
䗭	
䗳	
䗴	
䗻	
䘖	
䘗	
䘛	
䘞	
䘠	
䘧	
䘮	
䘲	
䙃	
䙊	
䙋	
䙍	
䙓	
䙝	
䙣	
䙨	
䙩	
䙫	
䙶	
䙻	
䚌	
䚤	
䛓	
䛝	
䛧	
䛶	
䛼	
䜀	
䜥	
䜧	
䜿	
䝂	
䝉	
䝙	
䞊	
䢄	
䪣	
䰗	
豈	
更	
車	
賈	
滑	
串	
句	
龜	
龜	
契	
金	
喇	
奈	
懶	
癩	
羅	
蘿	
螺	
裸	
邏	
樂	
洛	
烙	
珞	
落	
酪	
駱	
亂	
卵	
欄	
爛	
蘭	
鸞	
嵐	
濫	
藍	
襤	
拉	
臘	
蠟	
廊	
朗	
浪	
狼	
郎	
來	
冷	
勞	
擄	
櫓	
爐	
盧	
老	
蘆	
虜	
路	
露	
魯	
鷺	
碌	
祿	
綠	
菉	
錄	
鹿	
論	
壟	
弄	
籠	
聾	
牢	
磊	
賂	
雷	
壘	
屢	
樓	
淚	
漏	
累	
縷	
陋	
勒	
肋	
凜	
凌	
稜	
綾	
菱	
陵	
讀	
拏	
樂	
諾	
丹	
寧	
怒	
率	
異	
北	
磻	
便	
復	
不	
泌	
數	
索	
參	
塞	
省	
葉	
說	
殺	
辰	
沈	
拾	
若	
掠	
略	
亮	
兩	
凉	
梁	
糧	
良	
諒	
量	
勵	
呂	
女	
廬	
旅	
濾	
礪	
閭	
驪	
麗	
黎	
力	
曆	
歷	
轢	
年	
憐	
戀	
撚	
漣	
煉	
璉	
秊	
練	
聯	
輦	
蓮	
連	
鍊	
列	
劣	
咽	
烈	
裂	
說	
廉	
念	
捻	
殮	
簾	
獵	
令	
囹	
寧	
嶺	
怜	
玲	
瑩	
羚	
聆	
鈴	
零	
靈	
領	
例	
禮	
醴	
隸	
惡	
了	
僚	
寮	
尿	
料	
樂	
燎	
療	
蓼	
遼	
龍	
暈	
阮	
劉	
杻	
柳	
流	
溜	
琉	
留	
硫	
紐	
類	
六	
戮	
陸	
倫	
崙	
淪	
輪	
律	
慄	
栗	
率	
隆	
利	
吏	
履	
易	
李	
梨	
泥	
理	
痢	
罹	
裏	
裡	
里	
離	
匿	
溺	
吝	
燐	
璘	
藺	
隣	
鱗	
麟	
林	
淋	
臨	
立	
笠	
粒	
狀	
炙	
識	
什	
茶	
刺	
切	
度	
拓	
糖	
宅	
洞	
暴	
輻	
行	
降	
見	
廓	
兀	
嗀	
﨎	
﨏	
塚	
﨑	
晴	
﨓	
﨔	
凞	
猪	
益	
礼	
神	
祥	
福	
靖	
精	
羽	
﨟	
蘒	
﨡	
諸	
﨣	
﨤	
逸	
都	
﨧	
﨨	
﨩	
飯	
飼	
館	
鶴	
侮	
僧	
免	
勉	
勤	
卑	
喝	
嘆	
器	
塀	
墨	
層	
屮	
悔	
慨	
憎	
懲	
敏	
既	
暑	
梅	
海	
渚	
漢	
煮	
爫	
琢	
碑	
社	
祉	
祈	
祐	
祖	
祝	
禍	
禎	
穀	
突	
節	
練	
縉	
繁	
署	
者	
臭	
艹	
艹	
著	
褐	
視	
謁	
謹	
賓	
贈	
辶	
逸	
難	
響	
頻	
並	
况	
全	
侀	
充	
冀	
勇	
勺	
喝	
啕	
喙	
嗢	
塚	
墳	
奄	
奔	
婢	
嬨	
廒	
廙	
彩	
徭	
惘	
慎	
愈	
憎	
慠	
懲	
戴	
揄	
搜	
摒	
敖	
晴	
朗	
望	
杖	
歹	
殺	
流	
滛	
滋	
漢	
瀞	
煮	
瞧	
爵	
犯	
猪	
瑱	
甆	
画	
瘝	
瘟	
益	
盛	
直	
睊	
着	
磌	
窱	
節	
类	
絛	
練	
缾	
者	
荒	
華	
蝹	
襁	
覆	
視	
調	
諸	
請	
謁	
諾	
諭	
謹	
變	
贈	
輸	
遲	
醙	
鉶	
陼	
難	
靖	
韛	
響	
頋	
頻	
鬒	
龜	
𢡊	
𢡄	
𣏕	
㮝	
䀘	
䀹	
𥉉	
𥳐	
𧻓	
齃	
龎	
𠀅	
𠀔	
𠀖	
𠀗	
𠀙	
𠀚	
𠀛	
𠀜	
𠀞	
𠀣	
𠀩	
𠀪	
𠀫	
𠀮	
𠀵	
𠀸	
𠁖	
𠁬	
𠁮	
𠁵	
𠁶	
𠂁	
𠂗	
𠂘	
𠂙	
𠂚	
𠂜	
𠂥	
𠂧	
𠂮	
𠂰	
𠂴	
𠂵	
𠂸	
𠂻	
𠂽	
𠃁	
𠃃	
𠃇	
𠃈	
𠃕	
𠃫	
𠃹	
𠄂	
𠄄	
𠄊	
𠄋	
𠄍	
𠄑	
𠄚	
𠄛	
𠄝	
𠄣	
𠄫	
𠄷	
𠄸	
𠄹	
𠅁	
𠅂	
𠅆	
𠅊	
𠅑	
𠅓	
𠅕	
𠅘	
𠅙	
𠅝	
𠅠	
𠅢	
𠅣	
𠅤	
𠅥	
𠅧	
𠅨	
𠅪	
𠅬	
𠅭	
𠅰	
𠅲	
𠅴	
𠅷	
𠅺	
𠅻	
𠅼	
𠅽	
𠅾	
𠆀	
𠆃	
𠆄	
𠆅	
𠆉	
𠆋	
𠆏	
𠆑	
𠆖	
𠆘	
𠆝	
𠆟	
𠆠	
𠆡	
𠆧	
𠆱	
𠇇	
𠇪	
𠇫	
𠈕	
𠉁	
𠉅	
𠉎	
𠉔	
𠉙	
𠉝	
𠉭	
𠊍	
𠊦	
𠋋	
𠋍	
𠋐	
𠋑	
𠋓	
𠋗	
𠋜	
𠋾	
𠌀	
𠌆	
𠌉	
𠌌	
𠌏	
𠌐	
𠌑	
𠌒	
𠌗	
𠌚	
𠌞	
𠌺	
𠍋	
𠍑	
𠍘	
𠍚	
𠍝	
𠍟	
𠍧	
𠍩	
𠍳	
𠍶	
𠍺	
𠎂	
𠎃	
𠎇	
𠎕	
𠎖	
𠎗	
𠎘	
𠎚	
𠎡	
𠎣	
𠎰	
𠎱	
𠏂	
𠏇	
𠏈	
𠏊	
𠏌	
𠏎	
𠏏	
𠏐	
𠏑	
𠏒	
𠏕	
𠏖	
𠏛	
𠏝	
𠏞	
