C襃X	
C龜X	
F𨸏	
HX㑴	
HX佩	
HX侵	
HX叚	
HX從	
HX微	
HX旅	
HX旋	
HX漢	
HX隋	
HX𥏻	
H㕟X	
H倝X	
H劉X	
H卬X	
H印X	
H叚X	
H敢X	
H段X	
H毀X	
H豕X	
H𩁘X	
L戈X	
L求X	
N微X	
N高X	
N齊X	
PX𠂢	
P㝱X	
P寐X	
P庶X	
P稽X	
P鹿X	
P𡳐X	
Q与X	
Q乌X	
Q匆X	
Q幾X	
Q烏X	
Q馬X	
Q鳥X	
Q鸟X	
Q𣪊X	
V⺼	
V㓹	
V㝱	
V㣇	
V㶳	
V乇	
V亦	
V來	
V兔	
V兴	
V冄	
V冉	
V冎	
V刂	
V卯	
V夨	
V宀	
V宷	
V尾	
V川	
V巠	
V巢	
V廉	
V彖	
V扌	
V朙	
V柬	
V正	
V毚	
V氺	
V灰	gg uo
V炗	
V用	
V甾	
V留	
V畢	
V疋	
V皀	
V監	
V直	
V算	
V羊	
V義	
V聿	
V臽	
V臾	
V舀	
V舁	
V興	
V良	
V虍	
V譱	
V隶	
V雚	
V頁	
V食	
V黽	
V𠂔	
V𠃬	
V𠚏	
V𠯑	
V𡬧	
V𢍏	
V𢍱	
V𢍼	
V𢦌	
V𢽅	
V𣎌	
V𣥂	
V𣥄	
V𥸭	
V𦈢	
V𦍋	
V𨸏	
ZX五	x
ZX亦	
ZX焉	
ZX爭	
ZX畏	
ZX竜	
ZX華	
ZX雋	
Z亯X	s j
Z兴X	vd a
Z具X	lc
Z吏X	
Z囊X	
Z夢X	
Z奐X	
Z妻X	a xb
Z学X	vd ww
Z學X	
Z春X	
Z曹X	
Z梁X	
Z樂X	
Z無X	
Z燕X	
Z爨X	
Z监X	
Z祭X	
Z荧X	
Z長X	
Z青X	
Z齊X	
☵	
⺀	
⺄	
⺌	
⺫	
⺼	
⺾	
⻍	
々	
〇	
コ	
ッ	
マ	
ュ	
㇏	
㐁	
㐄	
㐅	
㐆	
㑒	
㒸	
㒼	
㓁	
㔾	
㕚	
㘴	
㠩	
㠯	
㡀	
㡭	
㢴	
㣇	
㣺	
㥁	
㦮	
㫄	
㬥	
㬰	
㸦	
䒑	
䴡	
一	
丁	
丂	
七	
丄	
丅	
丆	
万	
丈	
三	
上	
下	
丌	
不	
与	
丏	
丐	
丑	
专	
且	
世	
丗	
丘	
业	
东	
丝	
両	
丣	
两	
丧	
丨	
丩	
丫	
丬	
中	
丯	
丰	
丱	
串	
丳	
丶	
丷	
丸	
丹	
为	
丽	
丿	
乀	
乁	
乂	
乃	
久	
乆	
乇	
乊	
之	
乍	
乎	
乐	
乑	
乕	
乖	
乗	
乙	
乚	
乛	
乜	
九	
也	
习	
乡	
亀	
亅	
了	
亇	
予	
事	
二	
于	
互	
五	
井	
亙	
亜	
亞	
亟	
亠	
亥	
亦	
产	
亷	
人	
亻	
今	
仺	
倉	
傘	
儿	
兆	
光	
免	
入	
內	
兩	
八	
共	
其	
典	
兼	
冂	
冄	
内	
冉	
冊	
册	
冎	
冖	
冘	
农	
冫	
几	
凵	
凸	
凹	
函	
刀	
刁	
刂	
刄	
制	
力	
办	
勹	
勿	
匁	
匕	
北	
匚	
匸	
十	
卂	
卄	
卅	
半	
卌	
卑	
单	
単	
卜	
卝	
卤	
卥	
卩	
卬	
厂	
厶	
又	
及	
叏	
发	
叚	
口	
史	
吏	
啬	
喪	
單	
嗇	
噩	
囗	
囪	
土	
垂	
埀	
堇	
士	
壷	
壺	
壽	
夀	
夂	
夊	
复	
夔	
夕	
夜	
大	
夨	
夫	
夬	
央	
头	
夷	
女	
婁	
子	
孑	
孓	
孛	
宀	
寜	
寡	
寸	
小	
尔	
尢	
尸	
尹	
展	
屮	
屯	
山	
巛	
巜	
川	
州	
巤	
工	
己	
已	
巳	
巴	
巾	
巿	
帇	
带	
帶	
干	
平	
年	
并	
幷	
幺	
广	
庚	
庸	
廴	
廾	
廿	
弋	
弓	
弔	
弗	
彐	
彑	
彡	
彦	
彳	
心	
忄	
必	
戈	
