arel 殖殢
arpo 餮殮
bjbj 囍喆
bmgm 氂犛
bsmc 驁聱
bsmw 鼇遨
bsym 墩敖
ciy 酆邦
cukz 騁騾
cund 駙馴
curj 駒駱
cwbk 琮瑄
dsuj 掊摘
dyyn 摺擢
eajc 堇菫
ejcy 勤鄞
ejnr 歡鸛
ejqr 鶦鶘
ekk 菖曹
elog 顢顛
eryj 苟茍
eskr 蓑藹
exbd 蔚蕁
eyyy 協荔
fdrj 酩酪
fjbk 剽票
fjvv 束杏
fjw 速迺
fkab 軒桿
fkao 楊輛
fkhb 輕軾輊
fkpk 暫輸
fkrr 輓棍
fkvv 杳東
flfl 棘棗
fpd 析杉
fufd 楢樽
fvbz 雲雩
gdoo 爽夾
gds 太犬
gezy 磡勵
ggez 礪厲
ggo 仄碩
gra 兀兀
hjjr 鷗歐
ihkl 盧覷
iirl 眥貲
jbmy 嘟哮
jeki 喵嚏
jio 嚙趴
jioi 蹤踨
jiry 跪跑
jiso 跡跤
jiuk 蹭踫
jiuy 躑踡
jixj 踞跼
jjgj 囂器
jjgs 獸哭
jlo 員唄
jovv 叭只
jym 叻另
jzsm 哞唉
kfvv 杲果
kibd 疇畤
kirr 毘毗
klml 幣瞥
krjr 晚冕
ksjk 景晾
kwwf 暈暉
lelo 瞞瞋
llfz 嶀崧
llgg 豳顓
llki 岬岫
llni 瞿崔
llrc 峯峰
llwb 崆崇
lohh 贓賤
lugs 獃默
mbiy 卸笻
mfkf 稞梨
mfkm 秒犁
mfrr 秕移
mlgz 纂篡
mynd 氚氘
myw 追迄迤
nejm 儆做
nji 仲促
nkc 俳皇
nkwl 儻償
nrgs 倏儋
nzsm 俟侔
oxnj 餽餉
oxue 饈餅
pajl 盒鎘
pajy 郃命
pday 卮邱
pfki 釉番
pyji 鏹舯
pyki 舺舳
qmc 狂胜
qmkb 腫狸
qmse 獐猝
qub 胖塍
rlym 解觔
rsuo 炙灸
sid 卞訃
snbr 誽裒
sojr 袞兗說
sukr 竟竭歆
swmh 詫亳
szzn 離雍
tdro 餈次
tff 痳痲
tgij 痞店
tgob 瘞座
tgsy 廊廓
tgxq 廢廄
txmf 瘺麇
ucmh 羲義
ufj 悚恓
ufw 遒迷
uoef 煠煤
uojr 悅炾
uopk 燴燔
uosj 熵焙
uowj 愴熔
uoxl 燼爛
uoyn 熠燿
vbdz 沍污
velo 滇滿
veoy 港瀚
vfjb 漂湮
vgds 汰汱
vji 浞沖
vkb 涅浬
vkkg 滉灝濃
vkvv 汩汨
vryk 洵溜
vsuj 滴涪
vszn 灕流
vszz 漓泫
vwbk 淙渲
wobl 竇窺
wtfb 補襟
wtxj 裾裙
xbka 晝畫
xii 蛋疋
xmmy 務屘
yavv 刁孑
ydjy 邵劭卲
yfk 陣陳
ygoo 陝陜
ymeb 陲陞
ytyn 翟習
ytyt 羽弱
yzi 引弔
zrdf 槳醬
zso 以紋
zszz 絃縭
zzzp 斷縿
