; 女
;;; 姦
;;;c 𩤦
;;;g 𡟗
;;ab 姧
;;ky 𡢹
;;vv 奻
;;vv 㚣
;aaa 𡿨
;ab 𡋖
;ab 奸
;aba 姸
;ad 㚥
;ae 妍
;aeb 𡌎
;aek 𡜇
;af 妺
;aga 𡢭
;agr 妩
;agu 婖
;ahi 娬
;ai 奵
;aii 姃
;aij 妸
;aiu 嫣
;aiz 𡛔
;ajj 𡟵
;aju 㛒
;akk 𡠂
;ako 㛐
;aku 娅
;ali 姉
;all 㛤
;alm 𡢓
;alm 𡛷
;alo 𡛦
;alt 孋
;and 㚦
;anr 𡟺
;aoo 嬭
;aop 𡚹
;aot 𡤘
;ars 𡛃
;aua 㛁
;axi 婕
;azf 𡝥
;azk 婳
;baz 㛈
;bb 娃
;bbf 𣕁
;bbg 嬈
;bbq 嬈
;bbt 㜇
;bbt 㥨
;bdk 姮
;bdn 妌
;bdo 妋
;bdr 妧
;bdz 𡚯
;bdz 妘
;bf 妹
;bfm 𡡵
;bi 妅
;bil 𡟫
;bj 姞
;bj; 𡟌
;bjr 媴
;bju 㛸
;bk 𡛭
;bll 嬻
;bm 媎
;bmr 姥
;bo; 𡝈
;bob 㛬
;boj 嬙
;bol 𡣶
;bom 𡠬
;bor 婈
;box 𡞽
;bqc 𡠸
;bsm 㜜
;btz 娡
;bub 婞
;buj 嬉
;buj 𡣗
;but 𡤵
;bvv 𡚳
;bwh 嬯
;bwu 嬄
;bxd 嬦
;bxj 娪
;byi 𡜤
;bz 婭
;bz 𡟳
;bzs 𡛠
;bzt 𡢇
;c;m 𡠯
;ccc 𡤙
;ccx 𡡱
;cdz 𡛋
;ce 㛞
;ce 㛅
;cex 娵
;cez 𡜯
;ci 妦
;cil 嫧
;ciq 婧
;cir 𡤸
;cir 婊
;ciz 嫊
;cjm 𡢨
;cmo 𡝺
;co 媋
;cob 𡞗
;com 嫀
;cs 𡛼
;ctz 𢢷
;cu 媽
;cxg 𡣞
;cxt 𡣺
;dpd 𡝊
;dsu 𡝰
;dvs 㛏
;eab 嬅
;eak 㛭
;eao 娂
;eao 𡝄
;eau 𡞴
;eaz 𡛶
;eb 姏
;ebf 媒
;ebj 𡤑
;ebl 𡣨
;ebr 𡡷
;ebr 𡝴
;ebs 𡠘
;ec 娸
;ece 媶
;ecp 𡡒
;ecz 媅
;ee 𡟍
;eef 𡢬
;eej 𡞯
;eeq 𡡲
;efw 𡣻
;egj 婼
;ehi 𡝿
;ej 姑
;ejc 嫤
;ejd 𡟻
;ejm 𡟁
;ejn 孉
;ejo 嫨
;ejq 媩
;ejr 娔
;ejs 𨐞
;ejs 嫴
;eka 𡢪
;eka 𡣳
;ekg 嫫
;eki 媌
;ekk 㜖
;eko 嫹
;elb 媾
;elg 媖
;elo 𡠪
;elo 嫃
;elu 婻
;emb 嬞
;emg 𡝩
;ems 𡤏
;enr 婲
;enx 嬳
;eow 𡟀
;eoy 𡝱
;epj 㜓
;eqz 𡤦
;erb 𡣮
;erf 𡢼
;erk 𡟱
;erk 𡞢
;ero 𡞁
;ers 𡝅
;eru 𡡣
;ery 𡟃
;etu 嬿
;euj 嫱
;euz 𡢫
;ew 𡝳
;ewl 𡠹
;ewl 㛿
;ewl 㜴
;ewy 𡡶
;ewy 㛘
;exf 𡤄
;exl 孏
;exn 𡣾
;exp 妓
;exq 𡤃
;ezf 𡤤
;ezf 媟
;f; 𡝋
;faj 𡣰
;fb 𡜵
;fbd 𡣋
;fbk 𡢱
;fbk 𡞫
;fbz 𡢅
;fbz 嫮
;fd 𡜳
;ff 㛦
;ff; 𡤆
;ffb 𡢾
;ffd 𡤛
;ffi 𡢟
;ffl 孀
;fj 𡜺
;fj 㛉
;fj 娕
;fj; 婹
;fjb 嫖
;fjb 𡞻
;fjg 嬾
;fjj 𨃢
;fjj 𡣒
;fjl 嬾
;fjl 嬾
;fjm 嫩
;fjr 嫰
;fjt 𡠇
;fk 𡝀
;fk 娻
;fk 𡞍
;fka 㜁
;fkd 嫥
;fke 㜤
;fkr 㜛
;fkw 㜕
;fkz 𡞤
;fl 㜀
;flk 𡞸
;flk 媡
;fll 𡢲
;fmz 𡠫
;foo 婡
;fsm 𡣷
;fvg 嬬
;fvk 𡢽
;fvs 𡤴
;fvx 𡠭
;fxx 𡤕
;fzy 𡢵
;gaj 婍
;gbb 㛻
;gbb 娾
;gbq 媠
;gbz 姱
;gd 𡚻
;gdb 𡞏
;gdb 𡛿
;gdj 𡛮
;gdl 㚴
;gdq 姷
;gds 𡛕
;gdx 𡛀
;gdy 姨
;ggy 𡛖
;gh 娠
;ghd 媷
;gi 妚
;gia 㚰
;gij 娝
;giy 𡜒
;gjj 𡞎
;gjk 媔
;gjm 𡢩
;gka 𡡰
;gkk 嫽
;gku 𡢴
;gkz 㛪
;gl 䎟
;gl 𡜚
;gl; 𡞾
;glg 媆
;glg 𡢉
;gll 𡣧
;gm 娏
;gmi 𡤌
;gmk 𡞼
;gnk 嫄
;go 㛲
;goo 㛍
;got 𡡌
;gq 𡝍
;gr 𡚲
;gr 㚭
;grp 𡛪
;gur 㜧
;guz 𡝻
;gvv 妬
;gxm 𡣜
;gxs 妭
;ha; 媙
;haj 㛾
;hau 𡟬
;hb 姪
;hbr 𡟹
;hdb 娙
;hej 嫟
;hgo 𡞡
;hik 𡠽
;hin 𡡳
;hjj 嫗
;hjl 𡣓
;hjt 嬺
;hjt 𡢳
;hll 𡤱
;hm 𡛏
;hmg 娀
;hmg 娆
;hmk 𡞨
;hml 㜮
;hmr 𡣴
;hms 𡜐
;hmt 嫕
;hmt 𢟇
;hmy 娍
;hmz 𡣵
;hmz 𡛟
;hop 妪
;hqy 𡤖
;hrd 𡛘
;hrk 𡡖
;hs 㚤
;hvv 姬
;hvv 姬
;hvv 姫
;hx 姖
;hxb 𡠩
;hxf 𡞮
;hy; 𡢰
;hyl 𡡛
;hyu 㜯
;iai 𡛨
;iak 𡜔
;idj 㚲
;idl 媜
;idq 𡜕
;ih 婋
;ihl 𡟣
;ihl 㜘
;iii 𡢋
;iik 𡝃
;iiq 𡞚
;ijg 𡢢
;ike 婥
;ikg 𡤉
;iki 𡤲
;ikt 𡣭
;ikx 婌
;imu 嫭
;ipd 𡢙
;ipk 𡡸
;iqk 𡠔
;iqk 𡠡
;irl 𡢍
;ixa 𡤋
;ixi 媫
;jag 娱
;jal 嬇
;jbk 𥙦
;jc 𡝚
;jcs 𤥏
;jcu 𩣉
;jd 姻
;jdi 𡟏
;jdk 𡜼
;jdt 𡟯
;jdx 𡛸
;jej 婟
;jf 桇
;ji 𧊟
;ji 𡟎
;ji 妕
;ji 娖
;jit 𡠛
;jj 㛎
;jje 嬋
;jjf 嬠
;jjj 𡄲
;jjm 孍
;jjp 𡣏
;jjr 㗠
;jjr 㖲
;jld 𡛱
;jli 帤
;jll 𡤓
;jln 𡤀
;jlo 㜏
;jlo 㛣
;jlo 娲
;jmc 𤯥
;jmd 挐
;jmh 𣭠
;jni 𨾵
;jnn 𩴿
;jo 𡛰
;jol 媼
;joq 𡣃
;jp 𨦔
;jq 娟
;jr 𩶯
;jrd 㚾
;jrz 鴽
;js 𧧏
;jsr 䘫
;jtz 恕
;juf 𥹡
;juo 𤈟
;jvv 如
;jxu 𡠮
;jy 𨚴
;jyi 㛕
;jz 絮
;jzg 娯
;jzg 娛
;jzg 娛
;jzl 𡟤
;ka 妲
;kab 娨
;kai 媞
;kan 𡞑
;kao 婸
;kaz 娉
;kb 娌
;kc 婔
;kcx 𡡔
;kd 𠚰
;keb 𡠚
;keo 𡠲
;kf 婐
;ki 㚼
;kia 妯
;kic 妽
;kih 㛱
;kiq 媦
;kit 媤
;kiy 娚
;kiz 嫘
;kj; 𡡎
;kj; 㜢
;kk 娼
;kkg 𡢿
;kkk 𡡺
;kkl 㜼
;kkz 𡤯
;kl 媢
;klj 𡞀
;klk 媪
;klm 𡡹
;klx 嫚
;kly 𡢚
;klz 媀
;kmc 𡟙
;kml 𡞞
;knh 𡣯
;kog 姯
;kom 妙
;koq 娋
;kq 𡝭
;kro 㛫
;krr 婫
;ksk 𡡡
;ksr 𡣖
;ksu 𡟄
;kug 𡣘
;kur 𡤩
;kuu 𡡐
;kvk 㛥
;kwb 𡠠
;kwf 𡡢
;kwk 㜭
;kwl 𡤭
;kwl 嫦
;kxi 𡠕
;ky; 嫐
;kyy 𡣡
;kzm 𡜄
