b 地
c 現
d 的
e 世
f 要
g 在
h 成
i 上
j 中
k 是
l 用
m 我
n 他
o 人
p 所
r 多
s 說
t 度
u 為
v 沒
w 這
x 發
z 以
ad 于
ae 型
af 末
ag 天
ah 武
ai 下
aj 可
ak 更
al 再
an 百
ao 爾
ar 列
au 平
av 一
ax 妻
ay 万
az 瓦
bb 款
bc 趣
be 填
bf 埔
bg 項
bh 城
bj 吉
bl 賣
bn 井
bp 圻
bq 恐
br 元
bs 境
bt 塘
bu 報
bv 塉
bw 志
bx 五
by 都
bz 去
cb 玩
cf 琳
cg 騎
ch 長
cj 驒
ck 理
cl 瑞
cm 驕
cn 碧
cp 鬚
cq 青
cr 表
ct 驥
cu 馬
cv 珧
cw 騙
cy 邦
cz 聯
da 打
db 持
dc 攝
dd 捄
de 技
df 捕
dg 振
dh 找
di 據
dj 事
dk 揚
dl 揣
dm 才
dn 推
do 搶
dp 授
dq 投
dr 指
dt 擴
du 捲
dv 救
dw 按
dx 攔
dy 把
dz 摻
ef 載
eg 苤
eh 藍
ei 蘋
ek 萬
el 真
em 莉
en 舊
eo 共
ep 斯
eq 期
es 芳
et 燕
eu 蒫
ev 薄
ew 蓮
ex 蕭
ey 協
ez 藥
fc 棒
fe 棋
ff 禁
fg 椅
fh 輕
fi 朴
fl 想
fm 株
fn 柏
fo 來
fp 暫
fr 楷
fs 梳
ft 醣
fu 樣
fw 惠
fx 橙
fy 李
fz 機
gb 豬
gc 碼
ge 碟
gf 磚
gj 面
gk 壓
gm 歷
gn 原
go 頁
gp 斫
gq 有
gs 太
gt 礦
gu 灰
gv 磲
gw 確
gx 友
gy 夷
gz 雄
hb 式
hc 臻
he 匿
hf 匭
hg 戎
hh 戔
hj 或
hk 到
hl 匝
hn 雅
ho 臥
hp 匠
hq 朢
hr 匹
hs 弋
hv 匯
hw 忒
hx 豎
hy 盛
hz 頓
ib 虹
ic 齱
ie 蝶
if 蟪
ig 劇
ij 占
ik 虛
il 貞
im 蜊
in 虧
ip 蚚
iq 肯
ir 此
is 蛀
it 蝷
iu 蟻
iv 蟝
iw 蠅
ix 蝦
iy 蜓
iz 蠟
jb 園
jc 嗎
je 固
jf 團
jg 咦
jh 國
jj 回
jk 嚐
jl 員
jm 吃
jn 嗅
jp 踩
jq 跺
jr 路
js 咬
jt 嘛
ju 蹲
jv 跳
jw 恩
jx 呢
jy 哪
jz 吳
ke 早
kg 光
kh 畏
kk 昌
kl 幣
km 省
kn 雀
kp 暖
kr 易
ks 暗
kt 曠
ku 對
kw 常
kx 暐
ky 男
kz 數
lb 點
le 刪
lf 崧
lg 央
lh 賤
lj 巖
lm 貶
ln 眾
lo 內
lp 睬
lq 帆
lr 見
ls 賠
lt 髍
lu 賺
lv 眺
lx 眼
ly 助
lz 羅
ma 短
mg 喬
mi 竹
mj 和
mk 利
ml 看
mm 年
mn 符
mo 答
mp 稱
mq 筋
mr 先
ms 稿
mt 科
mu 秋
mv 簿
mw 篇
mx 筆
mz 每
na 使
ne 做
nf 傳
ng 順
nh 倒
ni 佔
nm 作
nn 伯
no 學
np 版
nq 佩
nr 你
ns 依
nt 佽
nu 偽
nv 佻
nw 息
ny 仍
nz 鼠
ob 街
oc 全
oe 德
of 術
og 希
oh 徑
