#;bk 姮
;br 姥
;cr 婊
;ef 媒
;ex 妓
#;fb 嫖
;gy 姨
;il 媜
;jt 恕
#;kl 嫦
;km 妙
;kz 嫘
;le 姍
;mg 妖
#;mh 娥
;mk 姝
;ne 婢
;nt 媳
;nx 嫂
;pk 嬏
;rk 妳
#;rs 妁
;sx 娘
;tm 嫉
;ue 姘
;vr 姚
;wg 嫁
;xc 駑
#;xl 媚
;xm 娓
;xr 妮
;xt 怒
;xy 努
;zj 始
;zo 姒
aek 刑
aep 形
ahi 武
aim 政
ait 忑
#aiz 丐
ajl 鬲
ajo 吏
aju 豆
#ako 更
alb 再
#alo 丙
anh 戛
anr 夏
ark 列
arr 死
baj 坷
bau 坪
baz 考
bbd 封
#bbi 卦
#bbk 垣
bbr 款
#bbz 圬
bcx 趣
bez 堪
bga 坯
bhy 城
bhz 越
#bij 坫
bik 墟
bjg 頡
bjr 袁
#bka 趕
bkq 趙
#bll 賣
bne 埤
bno 赤
#bol 規
#boo 巫
#bop 趁
bpk 墦
#bps 坼
bqe 鞏
#bqf 垛
#bqj 跫
bqt 恐
brb 均
brg 頑
#brh 耋
#brk 耆
brl 觳
brm 耄
brt 亙
bsj 培
bsm 敖
bsq 坑
btr 趑
#btx 垿
buq 執
bxj 吾
byj 超
#bym 教
bzl 盍
bzm 埃
bzn 魂
#bzy 劫
caj 珂
#cbj 髻
cbn 耕
cbr 玩
#cbz 耘
ccc 聶
ccr 琵
#ccx 彗
ccy 琶
ceo 鬨
cfb 驃
cfw 璉
#cgd 耨
cgs 琢
#chy 琊
#cig 璩
#cii 蠢
cij 玷
cir 髭
cjm 聖
cjo 駛
#ckk 璫
#ckl 瑣
ckr 琨
#cku 璞
ckz 騾
clb 髯
cle 珊
clg 瑞
cln 璀
cly 勣
cmg 奏
cmk 珠
cmr 駪
#cnd 駙
cnf 髹
cnh 玳
cnr 鬩
coo 駁
cop 珍
#cow 聆
cpg 鬚
cpk 璠
cql 靚
cqw 靛
crj 駒
crk 珣
crm 瑤
#csc 斑
csl 鬧
csx 琅
#cuc 班
#cue 駢
cuu 琰
#cuy 鬈
cwb 琮
#cwf 琿
cwr 駝
cx; 娶
cxf 棸
#cxg 聚
cxj 珺
cxn 驌
cyg 契
cyi 齧
cyj 珈
#cym 挈
czj 駘
czm 騃
dau 抨
dbd 持
dbl 摃
dbo 扶
dcb 捧
dcy 揶
dek 描
deo 拱
dep 撕
dex 技
#dfd 搏
#dfk 擂
dfl 揀
dgb 捺
dgy 拋
#dhb 拭
dig 據
dij 拈
#djc 揖
djf 捆
djl 損
djt 摁
djx 事
djy 拐
dk; 摟
#dka 捍
dkh 撐
#dkk 擋
dkm 抄
dkq 捎
dkr 揭
#dku 撲
dkz 摞
dlg 揣
dln 摧
#dlw 撾
#dmh 托
dmn 插
dmu 揪
#dmy 拖
#dnb 揑
dnd 拊
#dnx 搜
doc 拴
dom 捨
doy 扮
#dp; 挼
#dpf 採
#dpj 拾
#dpk 播
dpn 搯
#dpq 搬
dpr 掀
#dps 拆
dpx 掙
drj 拘
#drk 指
drl 搗
drm 搖
drn 揩
drs 抵
dru 掬
#dry 抑
ds; 接
dsj 掊
dsq 抗
dte 抖
#dub 搓
due 拼
duy 捲
dvr 挑
dwb 控
#dwf 揮
dwq 掮
#dwy 挖
dxg 抉
dxh 握
