;; 奻
;a 妍
;b 妹
;c 媽
;e 媒
;f 嫖
;g 姨
;h 姬
;i 婌
;j 如
;k 妙
;l 姍
;m 嬌
;n 婢
;o 妗
;p 媛
;q 姵
;r 妳
;s 娘
;t 嬤
;u 嫌
;v 女
;w 嫁
;x 婦
;y 她
;z 始
aa 麉
ae 型
af 末
ag 天
ah 武
ai 下
aj 可
ak 更
al 再
an 百
ao 爾
ar 列
au 平
av 一
aw 憂
ax 妻
ay 万
az 与
bc 趣
be 填
bg 項
bh 城
bj 吉
bl 賣
bn 井
bp 圻
bq 馨
br 元
bs 境
bt 志
bu 報
bv 塉
bw 壺
bx 五
by 都
bz 去
cb 玩
cf 琳
cg 騎
cj 驒
ck 理
cl 瑞
cm 驕
cn 碧
cp 驗
cq 青
cr 表
ct 恥
cv 珧
cw 騙
cy 邦
cz 聯
da 打
db 持
dc 攝
dd 捄
de 技
df 捕
dg 振
dh 找
di 據
dj 事
dk 揚
dl 揣
dm 才
dn 推
do 搶
dp 授
dq 投
dr 指
dt 擴
du 捲
dv 救
dw 按
dx 攔
dy 把
dz 摻
e; 茹
ef 載
eg 苤
eh 藍
ei 蘋
ek 萬
el 真
em 莉
en 舊
eo 共
ep 斯
eq 期
er 欺
es 芳
et 燕
eu 蒫
ev 薄
ew 帶
ex 蕭
ey 協
f; 覅
fc 棒
fe 棋
fh 輕
fi 朴
fm 株
fn 柏
fo 來
fp 暫
fq 楓
fr 楷
ft 惠
fu 樣
fw 連
fx 橙
fy 李
fz 機
g; 耍
gb 豬
gc 碼
ge 碟
gf 磚
gj 面
gk 壓
gm 歷
gn 原
gp 斫
gq 有
gs 太
gt 礦
gu 灰
gv 磲
gw 確
gx 友
gy 夷
gz 雄
hc 臻
he 匿
hf 匭
hg 戎
hh 戔
hj 或
hk 到
hl 匝
hn 雅
ho 臥
hp 匠
hq 翳
hr 致
ht 忒
hv 匯
hw 匾
hy 盛
hz 頓
ib 虹
ic 齱
ie 蝶
if 蟪
ig 劇
ij 占
ik 虛
il 獻
im 蜊
in 虧
ip 蚚
iq 肯
ir 此
it 蝷
iu 蟻
iv 蟝
iw 蠅
ix 蝦
iy 凹
iz 蠟
j; 囡
jb 園
jc 嗎
je 固
jf 團
jg 咦
jh 國
jj 回
jk 嚐
jl 員
jm 吃
jn 嗅
jo 只
jp 踩
jq 跺
jr 路
js 咬
jt 嘛
ju 蹲
jv 跳
jw 喀
jx 呢
jy 哪
jz 吳
k; 數
kb 時
ke 早
kg 光
kh 畏
kj 呇
kk 當
kl 常
kn 雀
kp 暖
kq 明
kr 易
ks 暗
kt 思
ku 對
kw 迪
kx 暐
ky 男
kz 顯
lb 周
le 刪
lf 崧
lg 央
lh 賤
lj 巖
lm 貶
ln 眾
lo 內
lp 睬
lq 帆
ls 賠
lt 髍
lv 眺
lx 眼
ly 助
lz 羅
m; 委
ma 短
mg 喬
mj 和
mk 利
ml 看
mm 年
mn 符
mo 失
mp 答
mq 筋
mr 先
ms 稿
mt 科
mw 篇
mx 筆
mz 每
n; 侞
na 使
ne 做
nf 傳
ng 順
nh 倒
nm 作
nn 伯
no 學
np 版
nq 佩
nr 你
ns 依
nt 息
nu 偽
nv 佻
nw 進
ny 仍
nz 鼠
ob 街
oc 全
oe 德
of 術
og 希
oh 徑
ok 得
om 舍
on 介
oo 從
op 飯
oq 役
or 飽
os 今
ot 飶
ou 餅
ov 衍
oy 分
oz 後
p; 妥
pb 鑄
pc 鈺
pe 鎮
pg 須
ph 錢
pi 遞
pj 盒
pk 銷
pl 鋼
pm 爲
pn 錦
po 鈴
pp 質
pq 愈
pr 銘
pt 鏮
pu 鎂
px 反
pz 錄
q; 奿
qb 肛
qc 脹
qe 獲
qf 腰
qg 獗
qh 膩
qj 膃
qk 腸
ql 獨
qm 腹
qn 猴
qo 腳
qp 狐
qq 股
qr 狗
qs 丹
qt 腑
qu 勝
qv 月
qw 腔
qz 腦
rb 祭
rc 逢
re 魽
rf 鱈
rg 然
ri 外
rj 名
rk 魯
rl 負
rm 疑
rn 皆
rp 鷈
rq 鳧
rt 冬
ru 鮮
rw 夤
rx 急
s; 妾
sb 詩
sc 請
sf 新
sg 顏
sl 市
sm 放
sn 亦
sp 論
sq 設
sr 衣
ss 讓
st 忘
sv 說
sw 誼
sx 良
sz 牽
tb 凌
tc 廳
td 庪
te 席
th 麙
ti 店
tj 癌
tk 廠
tl 廁
tn 應
to 座
tp 廥
tq 疫
ts 廊
tt 麤
tu 癢
tv 庣
tw 痯
ty 廖
u; 姜
ua 炳
ud 忖
ue 憤
ug 美
uh 炬
ui 爐
uj 悒
um 義
up 憸
uq 前
ur 烙
us 粒
ut 料
uu 榮
uv 羨
uy 弟
uz 怡
v; 汝
va 河
vb 法
vc 清
vd 浙
ve 滿
vf 漆
vg 源
vh 減
vi 淑
vj 溫
vk 濕
vl 測
vm 海
vn 準
vo 塗
vp 溪
vq 沿
vr 盜
vs 涼
vt 渡
vu 洋
vv 洲
vw 深
vx 浸
vy 漲
vz 灣
w; 安
wb 社
wc 寶
we 賽
wf 運
wg 家
wh 室
wi 扂
wj 祝
wk 裡
wl 視
wn 宿
wp 竊
wq 究
ws 房
wt 褲
wu 祥
wv 窪
ww 褊
wx 被
wy 字
wz 實
xa 開
xc 聞
xe 展
xf 閑
xh 既
xj 群
xk 間
xl 通
xn 閥
xq 閒
xr 尼
xs 尺
xt 悶
xu 盡
xw 退
xy 即
xz 關
y; 妀
yb 那
yc 張
ye 迅
yf 陳
yg 陝
yh 民
yj 加
yk 陽
yl 孟
yn 飛
yo 陰
yp 弧
yq 隳
yr 隆
ys 防
yt 弱
yu 隊
yw 院
z; 妝
zb 牆
zc 績
zd 獎
ze 弁
zf 練
zg 狀
zh 純
zj 台
zk 剝
zl 組
zm 收
zn 總
zp 給
zq 能
zr 紙
zs 統
zt 戀
zu 縑
zv 經
zw 編
zx 繡
;;v 奻
;ag 婖
;ai 嫣
;al 孋
;ao 嬭
;ax 婕
;bd 妘
;bo 婈
;bu 婞
;bw 嬯
;bx 嬦
;ce 娵
;ea 嬅
;eg 婼
;ek 嫫
;el 婻
;em 嬞
;et 嬿
;ez 媟
;fb 嫮
;ff 孀
;fk 嫥
;fv 嬬
;ga 婍
;gb 娾
;gd 姨
;gj 媔
;gk 嫽
;gn 嫄
;hd 娙
;he 嫟
;hj 嫗
;hm 嫕
;hv 姬
;id 媜
;ik 婌
;im 嫭
;ja 嬇
;je 婟
;jj 嬋
;jl 帤
;jm 挐
;jo 媼
;jr 鴽
;jv 如
;ki 嫘
;ko 妙
;kw 嫦
;la 媺
;lb 婤
;lg 婩
;li 嬽
;ln 孈
;mb 姝
;md 娥
;mh 奼
;mj 嬌
;mm 姩
;mz 姊
;nb 嫂
;ni 嫶
;nk 媓
;nl 媳
;nn 孇
;no 媲
;ns 嬓
;od 姾
;oh 孅
;on 妎
;os 妗
;oy 妢
;oz 妐
;pa 媛
;pf 嬏
;pj 媕
;pq 媮
;pv 婬
;pw 嬡
;qa 姵
;rg 姽
;rh 婚
;rj 娩
;rp 嬼
;rs 嬝
;ry 妁
;rz 媰
;sj 孃
;sk 嫜
;su 嫡
;sv 娮
;sw 婷
;sz 妶
;te 嫬
;tg 嬚
;tx 嫞
;tz 嬤
;ua 姘
;uc 媄
;uo 婒
;uq 媊
;uu 嫸
;uy 媯
;uz 嬨
;wa 嬪
;wb 媗
;wk 嫇
;wl 媥
;wo 嫆
;wp 嬸
;wr 婉
;xa 嬁
;xb 婽
;xi 婿
;xk 孎
;xl 帑
;xu 嬧
;xw 婦
;yb 娜
;yd 妱
;yg 嫷
;ys 娹
;yt 嫋
;za 媸
;zs 始
aba 麉
abg 頇
abk 刊
abr 鳱
abu 覝
adl 盂
aen 雃
aer 鳽
aeu 烎
afv 末
aig 頂
aiu 鄢
aiz 丏
aja 哥
ajj 歌
ajk 副
akk 鄑
ako 更
aks 裂
ald 再
all 麗
alm 鬺
alo 兩
alt 酈
aly 翮
ana 皕
ang 奡
aol 爾
aoo 璽
arb 殪
arc 殭
ard 殏
are 殖
arg 殗
arh 殘
arj 殟
arl 殂
arm 殊
arn 殠
aro 殲
arp 殮
arw 殥
arx 肂
ary 歿
arz 殆
aue 豉
aun 豍
auw 豌
awg 橐
awj 囊
awr 櫜
awt 憂
awz 蟗
axb 疌
azm 攷
bai 坷
bak 埂
bbg 顤
bbi 卦
bbk 刲
bbo 堎
bbq 熱
bbt 恚
bbu 燅
bbv 圭
bbx 壔
bci 埥
bco 埲
bdn 幫
bdr 元
bdz 互
bec 堪
bee 墳
bej 墐
bek 塻
bel 填
bem 墘
beo 塨
bep 塔
bew 墆
bfe 壩
bfj 堙
bfl 堜
bfv 壖
bgb 垮
bgf 斄
bgk 釐
bgl 堧
bgm 壢
bgo 塽
bgy 翹
bha 堿
bhd 坉
bhj 域
bhk 堰
bhm 城
bia 巧
bid 坫
big 項
bih 墟
bil 貢
bim 攻
bio 巫
biq 恐
bjb 囍
bje 堌
bji 敼
bjj 壧
bjl 塤
bjo 塭
bju 喜
bjv 吉
bjy 劼
bki 坤
bkj 塿
bkl 堣
bko 垙
bkr 堨
bku 墣
bky 塌
bla 塏
blb 墿
blc 埧
blk 賣
bll 墔
blq 塴
blu 堈
bma 考
bme 埵
bmg 剺
bmi 埏
bmk 堹
bml 壎
bmr 老
bmu 垀
bnb 堄
bng 垘
bnk 堭
bns 墽
bnu 墺
bnx 堠
bny 刱
boa 赶
boc 趣
boe 趪
bof 鄻
boh 越
boi 赴
boj 嗇
bok 趙
bol 嫢
bom 螫
bon 趡
boo 替
bor 趨
bos 坅
bot 趑
bou 趥
box 赽
boy 起
boz 赳
bpa 垢
bpf 墦
bpq 堬
bpv 埰
bqd 垛
bqg 豰
bqm 馨
bqr 鷇
bqy 彀
brn 埳
brr 堍
brw 鼀
brx 埩
bry 均
brz 塢
bsk 境
bsl 壞
bso 埣
bsw 壕
bsx 埌
bsz 垓
btl 覟
bue 鼓
buf 墫
buh 壾
buj 熹
bul 增
bum 盩
buo 埮
bup 甏
but 懿
buu 墡
bux 鼘
buy 報
bvo 塉
bvr 垗
bwa 壹
bwb 垸
bwg 塚
bwi 壺
bwk 塓
bwm 垞
bwo 堔
bwr 坨
bwu 亄
bww 壼
bxa 墱
bxd 燾
bxk 墀
bxl 埇
bxm 堳
bxn 鼙
bxq 聲
bxr 鼛
bxw 埽
bxx 鼜
bxz 堀
bym 圾
byz 坲
bzk 戩
bzp 斲
bzt 惡
bzw 鼁
bzz 晉
cau 玶
cbd 玩
cbs 璈
cbx 珸
ccm 鬮
ccn 鬩
cco 琴
ccs 鬧
cct 瑟
ccv 玨
ccx 慧
cdv 球
cea 玴
ceg 耾
ceh 聝
cej 聖
cek 聘
cel 瑛
cem 聒
cen 聰
cer 聊
ces 職
cet 恥
ceu 耿
cev 弄
cew 聜
cex 聚
cfj 瑮
cfk 璉
cfs 璷
cfv 瓀
cga 琦
cgd 珛
cgi 珔
cgq 琢
chb 髻
chc 鬊
che 鬗
chf 鬆
chg 髮
chk 鬘
chl 髯
chm 髦
chn 髹
cho 髽
chp 鬚
chq 鬅
chr 髱
chs 鬤
chu 鬙
chw 鬃
chx 肆
chy 髫
chz 鬖
cib 豔
cic 彗
cid 玷
cii 玼
cik 琡
cil 責
cix 璨
cjj 璪
cjr 璐
cke 耤
ckg 耨
ckh 耟
cki 珅
ckm 耗
cko 瑣
cks 璟
cku 璞
ckw 璫
cla 環
cld 珊
cll 瑞
cmb 珠
cmd 珴
cme 聽
cmf 琍
cmi 瑀
cmv 珽
cmx 琁
cmy 琇
cna 璵
cni 璡
cob 奉
cog 琋
cok 泰
com 秦
con 玠
cot 惷
cox 琀
coy 玢
cpa 珨
cpf 璠
cpl 璯
cpq 瑜
cpv 琈
cpw 璦
cqa 珮
cqp 靜
cqv 玥
crl 瓊
cro 瑍
crp 珞
crx 琤
csj 瓖
csk 璋
csu 琣
csv 玊
csz 璃
ctx 瑭
ctz 珌
cua 馯
cub 驍
cud 班
cuf 騕
cug 騎
cuh 驅
cui 驉
cuj 驒
cul 騧
cum 驕
cun 馴
cuo 騣
cup 驗
cuq 颿
cur 駱
cus 駐
cut 驥
cuv 駣
cuw 騙
cux 騷
cuy 馳
cuz 駿
cvb 琺
cvr 珧
cwa 璸
cwf 璭
cwo 琛
cwv 迋
cww 琿
cxa 璒
cxe 琚
cxm 璚
cxs 瑵
cxu 璶
cyd 玿
cym 珈
cyr 觢
cyt 珝
cyy 璆
czh 璣
czk 璅
czl 纛
czn 瑙
czz 瓅
dag 掭
daj 搹
dak 挭
dal 攦
dao 扙
daw 擾
dax 捷
dba 拷
dbn 捇
dbr 搘
dbu 撻
dbx 捂
dcc 攝
dci 掅
dcm 揍
dco 捧
ddv 捄
dea 措
dee 撠
dej 擏
del 搆
den 擭
deq 撒
der 攃
dew 挬
dez 揲
dfj 摽
dfv 擂
dga 掎
dgd 拻
dgg 扼
dgk 掩
dgo 挾
dgu 撅
dgv 拓
dgx 拔
dgz 摦
dha 搣
dhd 扽
dhi 摵
dhj 撼
dhk 揠
dhl 攬
dhs 拭
dhv 挋
dih 據
dik 掉
dja 撌
djc 揖
djd 捆
djh 摑
djj 操
djo 搵
djv 扣
dki 抽
dkj 摟
dkk 擃
dkl 撇
dko 捎
dku 撲
dkv 抇
dkw 擋
dky 搨
dla 擐
dlb 擇
dle 捵
dlj 撾
dll 揣
dlz 擺
dmb 抶
dmf 揪
dmg 扷
dmh 托
dmj 撟
dmk 揰
dml 鼒
dmm 撬
dmp 撘
dmr 攢
dmv 才
dmx 擳
dmy 拖
dmz 挴
dnb 搜
dnj 捭
dnm 拰
dno 攪
dnr 摠
dns 撽
dnu 擙
dod 拴
dof 摋
doh 攕
doj 挩
don 扴
doo 挫
dop 抮
dos 扲
dov 扒
dox 捻
dpa 援
dpe 揗
dpl 掄
dpm 撝
dpq 揄
dpt 悊
dpu 焎
dpy 搬
dqv 抈
dra 指
drc 摓
drg 擔
dri 揝
drp 捀
drz 搗
dsk 撞
dsm 慦
dsn 掖
dsr 挔
dss 裘
dsv 摔
dsw 揨
dsz 擁
dtd 抖
dtf 攠
dti 掂
dtr 揹
dua 拼
duc 搓
duf 撙
dug 擲
duo 搤
duq 揃
dus 攁
duw 撈
duz 搠
dwa 擯
dwc 搳
dwg 捩
dwl 擰
dwm 搾
dwn 攛
dwo 控
dwr 擦
dww 揮
dwy 搧
dxa 揆
dxb 撏
dxf 攔
dxj 擗
dxk 摨
dxl 捅
dxm 握
dxp 扠
dxr 擱
dxs 搔
dxu 摒
dxv 捫
dxw 掃
dxy 撥
dxz 掘
dyb 挪
dyd 招
dyg 撱
dyt 搦
dyy 撰
dyz 拂
dzd 拶
dzg 攭
dzi 拙
dzk 摷
dzo 捘
dzs 抬
dzv 扎
dzz 摻
e;; 葌
e;e 菇
e;g 薅
eab 鷨
eae 華
eag 菾
eaq 散
ear 葬
eat 燕
eau 苹
eaw 帶
eax 萋
ebd 芸
ebi 茿
ebk 蒜
ebl 藚
ebq 蒆
ebs 蘾
ebt 斠
ebu 蓻
ebv 芏
ebw 薹
ebx 薵
ebz 蓋
ecc 蔧
ecj 蘁
eck 薑
ecp 斯
ecr 欺
ect 惎
ecx 藂
ecy 懃
edb 荴
edf 蒱
edg 菝
edk 菗
edl 蘀
edm 葀
edn 蓷
edr 菢
eds 菈
edv 莍
eea 靺
eeb 鞋
eed 鞡
eee 鞳
eef 韆
eeg 靰
eek 鞘
eem 乾
een 鞭
eeo 幹
eep 鞥
eer 鞠
ees 鞹
eeu 靽
eev 卉
eew 鞍
eey 勒
efh 藲
efn 蘸
efo 萊
efp 菥
efq 蘻
efr 藗
efv 蕾
egb 荂
egd 若
egg 藞
egh 蓐
egk 菴
egm 藶
egn 蒝
ego 莢
egq 藸
egs 莽
egu 蕨
egx 茇
eha 葳
ehd 莖
ehh 臷
ehk 戴
ehl 蕆
ehn 截
ehq 蘙
ehv 茞
ehz 藏
eid 苫
eig 蘧
eih 薉
eik 蘋
eiv 茧
eja 蕢
ejb 菋
eje 蘄
ejg 虈
ejh 蔮
ejn 觀
ejo 難
eju 蔨
ejv 古
ek; 藪
ekb 蒔
ekj 蔞
ekm 虌
eko 茪
eku 薱
ekz 邁
elh 蔑
elk 薯
ell 蘡
elo 顛
els 藅
elv 苜
elx 藈
ely 翸
elz 蘿
ema 薙
emb 茱
emd 莪
emf 莉
emg 芺
emi 萭
emj 蕎
eml 薰
emm 蘩
emo 藜
ems 孽
emv 莛
emx 蒛
ena 荷
enc 蒨
end 苻
eng 茯
enh 茷
enk 葩
enl 蒠
enp 蘤
ens 蓓
enx 葔
enz 葰
eob 蓌
eod 荃
eog 莃
eok 苶
eoo 葅
eor 蘅
eos 芩
eot 斡
eoz 蓊
epa 茩
epj 蘥
epl 菕
epn 藐
epo 蘞
eps 蓏
epv 菜
epw 蕣
epy 蒰
eqb 藝
eqq 蒯
eqr 葋
era 蔔
erc 蓬
ere 兢
erg 薝
erk 薊
erl 藑
erp 苳
ers 蔡
esf 薪
esg 藙
esk 薏
esl 藃
esm 葹
esq 苀
esw 蒂
esx 莨
esz 蓄
eta 薦
etd 茨
ete 蓆
etn 藱
ett 蕊
