n/ 個
oaj 合
zz 出
cx 取
tr 次
m/ 無
mby 動
bxj 吾
skt 意
bz/ 云
;/ ；
uk 並
nb 與
ym/ 改
w/ 之
sj 就
l/ 過
kcx 最
zo 以
yx 及
e/ 十
s/ 說
ez 世
ul 着
x/ 開
irb 些
trl 資
kf 果
uw 道
pw 受
oj 卻
naj 何
un 首
elg 英
elu 南
leo 典
yym 改
pjy 命
mjw 造
uc 情
tel 席
zlo 納
leo 典
cxg 聚
yjc 駕
yjf 架
skq 謂
ewz 索
vwr 沈
vwq 沉
ej 古
xbj 尋
dyj 招
ejm 故
ufjv 悚
ewl 帶
km 少
kml 省
xly 勇
mi 乍
tm 必
loo 肉
kry 曷
gov 仄
ol 微
hx 巨
fl 相
mkb 重
ds; 接
zmo 變
mu 乎
wr 它
wrj 客
yiv 弔
wbr 完
fg 需
wfk 軍
sqm 望
ff 林
igk 劇
neo 供
vkq 消
mxy 節
ost 念
egj 若
ynv 弗
mydw 迄
myiw 迤
tir 北
oov 从
gaj 奇
sws 旁
nnx 雙
xkc 承
ulk 曾
ow 令
ynl 費
yhn 弗
