V宀 奥
V冄 𧧛
V來 賫
P庶X 席
V羊 𨌅
V疋 𣓜
V𣎌 媵
H㕟X 𩔒
V食 飮
V算 簒
HX從 從
ZX堇 菫
V義 𢐱
Q与X 𠬣
HX微 𠌝
ZX焉 𡋬
Z祭X 詧
V㶳 賮
Z兴X 兴
HX侵 埐
V冉 𨀔
P𡳐X 㞛
HX旅 䮉
H卬X 𣬇
HX旋 琁
V𢦌 㦱
V𠯑 䦚
V冎 𣑍
HX叚 𠬫
V毚 𩝎
V川 㐬
Q鸟X 岛
V巠 硁
V巢 𠢶
V柬 练
Z具X 直
HX𥏻 觴
Z燮X 爕
V臽 陥
V臾 𢈔
Z妻X 妻
Z监X 临
Z燕X 𣋅
Z齊X 𠆜
ZX五 舝
Z無X 無
P㝱X 𡫺
V朙 𥂗
Z春X 秦
L戈X 尧
HX漢 暵
H印X 𠃤
C龜X 𪚧
ZX亦 𧹘
V夨 𡵗
Z夢X 薨
N齊X 𩹵
V譱 𡤮
H豕X 𠛖
V甾 𤱹
V𣥂 𣥠
V𠕋 𥮚
V𣥄 𣳋
V𢽅 𤏺
ZX雋 𡶓
V𦍋 𦰶
V虍 𠙚
V兔 莵
V彖 𢑪
V留 羀
V𢍏 劵
ZX竜 𠉒
V畢 𡁘
V正 定
HX佩 珮
V卯 𥁚
V㝱 𡬊
V兴 学
L求X 𢿷
Z亯X 京
V𢍼 𢎁
Z青X 𧉉
Z樂X 𠒴
V皀 郷
Q匆X 匆
C襃X 褎
V舁 𦦪
HX隋 楕
ZX爭 争
V𠚏 𤗠
H毀X 毀
V𠂔 𣐈
N微X 㣲
V亦 弯
Z爨X 𣡈
Q烏X 𠂶
P鹿X 廌
Z學X 鱟
P寐X 𡪷
V⺼ 𦣐
Z奐X 𪄢
V隶 𣵏
V㣇 𦜼
Q笵X 範
V宷 奧
ZX畏 畏
PX𠂢 𠇊
V雚 観
F𨸏 𨺅
V監 𤪋
H劉X 劉
V𠃬 𥛈
V炗 庶
V直 値
V㓹 𣟈
V黽 竃
Z曹X 𡬭
V舀 𩏍
V頁 嘠
V刂 𧩵
V興 舋
V𨸏 𠁲
V艮 廄
Z囊X 䝴
Z吏X 𡈋
V𡍯 𠖦
Z荧X 茔
V𦈢 𣳴
Q馬X 慿
V𢍱 舆
V𥸭 𠌍
Q𣪊X 𧞺
Z梁X 𥞹
ZX方 𤿥
Z長X 𡕣
V氺 𠴅
V尾 𡲘
V乇 𥾑
V扌 峄
N高X 䯧
H倝X 𨿨
Q鳥X 𣁓
H𩁘X 𦫒
H段X 段
H叚X 𢼖
Z学X 鴬
Q乌X 乌
Q幾X 𧗇
V𡬧 𨁕
ZX華 崋
V良 郒
V灰 𢾬
V用 周
H敢X 聼
HX㑴 𡎹
P稽X 嵇
V聿 𥒠
V廉
