𦆁|𦝠 糸
𥇢|目 车 斤
䤆|酉 癶 一 大
涉|氵 止 𣥂
鈌|金 夬
𣼻|氵 雨 于
𣥳|入 一 朩 止
㲓|毛 戈 人
愖|忄 甘 匸 八
薙|艹 矢 隹
𥙍|𥘅 申
𧷛|貝 鬼
𣀠|日 共 氺 攵
咣|口 光
𩉚|面 麻 非
礦|石 广 黃
鶩|矛 攵 鳥
𤤆|𤣩 斤
𢎭|弓 巾
䠰|𧾷 卝 隹 口 口
河|氵 一 亅 口
𦆲|糹 广 羽 人 彡
𣗇|木 西 灬
鄶|人 一 囗 小 曰 阝
𡜺|女 木 口
㮽|木 舟 𠘧 又
恀|忄 夕 夕
蓃|艹 𦥑 丨 又
𤕠|爻 宀 寸
𢽊|甫 攵
反|厂 又
𦇣|糹 臾 貝
𩈌|面 冖 几
硐|石 冂 一 口
鳓|鱼 革 力
𤌏|火 八 厶 羽
䝚|豸 尸 匕
毝|毛 彡
遠|辶 土 口 𧘇
𧶺|貝 N高X 一 亅
𡙤|大 戶 衣
㫧|日 米
彪|虍 儿 彡
菭|艹 氵 厶 口
𣲓|氵 人 卜
𠧱|𠃊 卜 囗 夂
𥑧|亻 寸 石
𢹴|扌 山 幺 幺 山 幺 幺
勷|亠 口 口 𠀎 𧘇 力
𤥨|𤣩 豕
𩩊|骨 人 一 乛 口
睺|目 亻 ュ 矢
鯽|魚 V皀 卩
𩸔|亻 士 口 魚
𪄁|厂 白 小 鳥
𢜅|氵 人 一 マ 心
䚄|彑 氺 目 儿
𧟥|襾 廾
𨫀|金 展
𥛭|礻 乚 隹 又
瀋|氵 宀 釆 田
辊|车 日 匕 匕
𦹃|艹 氵 立 口
𡖎|夕 夕 力
𤧂|𤣩 王 人 一 マ
㼕|⺌ 冂 口 田 瓜
应|广 ッ 一
𢐘|弓 弓 長
蠛|虫 艹 罒 戈 人
𤢛|犭 音 心
𢶞|扌 𠂊 彐 攵 灬
𧪛|言 Q烏X 灬
圥|土 八
皤|白 釆 田
𧵰|亻 止 貝
𠮝|口 丨
𪀫|彐 彐 鳥
𢘯|宀 匕 心
䖮|虫 V宀 口
漵|氵 入 一 朩 攵
躴|身 丶 艮
𨛈|入 王 阝
𥫵|𥫗 大 丶
𧩋|木 木 言
㸿|牜 士 冖 几
嶾|山 爫 工 彐 心
𩆡|雨 辶 V⺼ 缶
蝅|一 大 一 大 虫
𨟷|酉 不
𢳈|方 人 矢 手
噏|口 人 一 口 羽
痎|疒 亥
齕|齒 𠂉 乙
𥃵|目 几 丶
𦅸|V⺼ 缶 丿 糸 卜
𢕙|彳 犭 子 皿
䓘|艹 夊 卜 口
湟|氵 白 王
跞|𧾷 乐
𦾇|艹 央 女 未
𪉺|鹵 文 厂 生
𩋐|革 艹 𠘧 又
㵩|氵 艹 世 木
峨|山 我
𧤦|角 𠂇 口 冂 口
𧙓|衤 乍
虯|虫 丩
𪗮|齒 禾
𩶩|魚 肉
𠱳|口 弓 弓
𢯲|目 㕚 手
𨯿|金 臣 人 丶 金
𣰨|宀 一 𣥂 貝 毛
啹|口 尸 十 口
瓸|瓦 一 白
𧶻|戼 貝
𦂫|糹 耳 阝
𩹿|魚 木 夂 口
𧐁|虫 束 欠
贈|貝 丷 囗 小 曰
𥪏|立 耳 又
上|卜 一
犍|牜 廴 聿
㞏|尸 丿 之
𥚂|礻 厶 儿 夊
𪔘|鼓 口 乇
昚|大 丷 日
誝|言 人 一 乛 口
𤉛|火 土 人 人
侟|亻 𠂇 丨 子
𩎄|革 亠 囗 口 日 一 毛
𡂡|口 婁 攵
𨘭|辶 酉 彑 氺
𤠰|犭 𠀎 冉
𩑳|平 頁
縪|糹 畢
𪊭|鹿 乂 𠂇 厶
䌬|糹 龍
枯|木 十 口
𦃜|糹 艹 勹 日
𧠉|也 目 儿
阺|阝 氏 一
嬼|女 H劉X 刂
羿|羽 廾
𡰾|尸 𠂔
䃁|石 亞
𩭡|镸 彡 卄 一 日
𠗃|冫 囗 大
𥪊|立 尸 屮 凵
獌|犭 曰 罒 又
韏|V𢍏 韋
𣑎|未 丷 一 卜
壑|卜 冂 一 谷 又 土
𡷓|山 大 廾
𨽒|阝 宀 大 丷 日 小
𤱂|田 二 厶
譜|言 䒑 业 日
䱞|魚 大 示
烡|火 共
㗣|口 帶
𪍬|麥 艹 氵 小 丿
摮|士 方 攵 手
裱|衤 Z青X 𧘇
𢥰|𥫗 士 乛 工 一 口 寸 心
𤷳|疒 山 石
𠻵|口 艹 犬 廾
𥆙|目 尢 丶 彡
𩴾|鬼 艹 罒 戈 人
籾|米 丶 刀
䆀|禾 黑
𠊂|亻 山 八 夊
𨭕|金 Z祭X 一 口 䒑
𤐡|火 土 鬼
欇|木 耳 耳 耳
𧺥|走 マ 𠄐
𨠊|酉 水
𦥭|䒑 屮 臼
𧻸|走 扌 斤
钎|钅 丿 十
妐|女 八 厶
𢍂|自 廾
茗|艹 夕 口
䐙|⺼ 革
𤟅|犭 𠂊 臼
𥴛|𥫗 木 隹
熠|火 羽 白
𧊚|虫 冂 一 口
鬧|鬥 亠 巾
尩|八 儿 王
𩸝|木 八 厶 魚
𢄫|亠 丷 冖 工 コ
覰|虍 且 目 儿
𤕒|父 一 亅 口
䪲|一 儿 頁
𠾴|口 木 Z春X V扌
琹|𤣩 王 木
𦕵|耳 宀 牛
㤻|𠂎 丶 卩 丶 心
𩃋|雨 一 廾 彡
𪇀|鼓 鳥
拂|扌 弗
𢟄|而 心 丑
豉|一 口 䒑 支
𥏍|矢 夕 口
克|十 口 儿
𡯶|亠 口 巾 尢 丶
𤄣|氵 魚 我
𨂄|𧾷 亻 士 寸
竒|亠 丷 一 亅 口
㿔|疒 田 田 田
𠃖|工 乚
𪑙|黑 金
𨈥|身 毛
楛|木 艹 十 口
𢩝|戶 口 戶 戶
𩉽|革 弗
𪎤|氵 丿 大 麻
鋢|金 爫 子
埤|土 卑
𡣦|女 㡭
腫|⺼ 重
𤉭|止 日 火
𩳓|鬼 里
𠝯|禾 刂 勿
𥃼|目 丿 厶
𧺌|走 入
𣭒|毛 目
濴|氵 𤇾 水
𣃶|方 人 ⺀ 阝
𥿕|糹 卜 口
饻|饣 衣
婽|女 叚
𡽿|山 山 山 宀 示
掁|扌 長
萄|艹 勹 缶
圎|囗 厶 貝
箑|𥫗 疌
𨠾|V扌 戈 酉
鰔|魚 丿 戈 一 口
𢘘|忄 弔 丿
䪛|韋 釆 田
𩡻|馬 丿 大
漞|氵 爫 目 儿
鎡|金 䒑 幺 幺
𤝚|犭 申
𨆇|𧾷 門 甲
㸨|牜 丩
披|扌 皮
𧤳|角 Z妻X 女
蜮|虫 戈 口 一
