C襃X 褎
C龜X 𪚧
F止 𣥠
F𨸏 𨺅
HX㑴 𡎹
HX佩 珮
HX侵 埐
HX叚 𠬫
HX從 從
HX微 𠌝
HX旅 䮉
HX旋 琁
HX漢 暵
HX隋 楕
HX𥏻 觴
H㕟X 𩔒
H劉X 劉
H卬X 𣬇
H印X 𠃤
H叚X 𢼖
H敢X 聼
H散X 𢻎
H段X 段
H毀X 毀
H豕X 𠛖
H𩁘X 𦫒
L戈X 尧
L求X 𢿷
N微X 㣲
N高X 䯧
N齊X 𩹵
O囟X 𢝏
O氺X 疂
PX疟 疟
PX𠂢 𠇊
P㝱X 𡬊
P寐X 𡪷
P庶X 席
P稽X 嵇
P鹿X 廌
P𡳐X 㞛
Q与X 𠬣
Q乌X 乌
Q匆X 匆
Q幾X 𧗇
Q烏X 𠂶
Q馬X 慿
Q鳥X 𣁓
Q鸟X 岛
Q𣪊X 𧞺
V⺼ 𦣐
V㓹 𣟈
V㕣 船
V㫃 𣄙
V㶳 賮
V乇 𥾑
V亦 弯
V來 賫
V倝 𣎍
V兔 莵
V兴 学
V冄 𧧛
V冉 𨀔
V冎 𣑍
V凡 𠙒
V刂 𧩵
V卯 𥁚
V叜 𥔉
V呈 𩷣
V囧 𦟁
V夋 𡕧
V夨 𡵗
V宀 𣞛
V宷 奧
V尚 𣥺
V尾 𡲘
V川 㐬
V巢 𠢶
V彖 𢑪
V扌 峄
V攸 修
V敻 𧥎
V朙 𥂗
V柬 练
V毚 𩝎
V氺 𠴅
V灰 𢾬
V用 周
V甾 𤱹
V留 羀
V畢 𡁘
V疋 疏
V疌 媫
V皀 郷
V監 𤪋
V直 𡌴
V県 縣
V算 籑
V羊 𨌅
V義 𢐱
V聿 𥒠
V育 𩛭
V臥 監
V臽 陥
V臾 𢈔
V舀 𩏍
V舁 舆
V興 舋
V艮 廄
V良 郒
V虍 𠙚
V譱 𡤮
V隶 𣵏
V雚 観
V頁 嘠
V高 𡎲
V黽 竃
V𠂔 𣐈
V𠃬 𥛈
V𠕋 𥮚
V𠚏 𤗠
V𠫓 㐬
V𠯑 䦚
V𡉚 𣳫
V𡍯 𠖦
V𡕩 𦟣
V𢍏 劵
V𢍼 𢎁
V𢎥 𧣚
V𢦌 㦱
V𣎌 媵
V𣥄 𣳋
V𦈢 𣳴
V𦍋 𦰶
V𨸏 𠁲
ZX丌 乔
ZX五 舝
ZX亦 𧹘
ZX方 䳣
ZX焉 𡋬
ZX爭 争
ZX畏 畏
ZX竜 𠉒
ZX華 崋
ZX雋 𡶓
Z亯X 京
Z兴X 兴
Z具X 直
Z养X 菐
Z吏X 𡈋
Z囊X 䝴
Z夢X 薨
Z奐X 𪄢
Z妻X 妻
Z学X 鴬
Z曹X 𡬭
Z梁X 𥞹
Z樂X 𠒴
Z無X 無
Z燕X 𣋅
Z爨X 𣡈
Z监X 临
Z祭X 詧
Z荧X 茔
Z長X 𡕣
Z青X 𧉉
Z黑X 㸃
Z齊X 𠆜
